Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
TRANSPORT OF STEEL IN THE EUROPEAN UNION,https://www.eurofer.eu/assets/publications/archive/archive-of-older-eurofer-documents/2003-Transport.pdf,Use of inland waterway transport is also of great importance to the German steel industry. River systems like those of the Rhine and the Moselle have been ...,0.9220999999999999,eu
Find Inland Water Transportation Companies in Germany - Dun ...,https://www.dnb.com/business-directory/company-information.inland_water_transportation.de.html,"Dun & Bradstreet gathers Inland Water Transportation business information from trusted sources to help you understand company performance, growth potential, and ...",0.9063,com
On the optimization of green multimodal transportation: a case study ...,https://link.springer.com/article/10.1007/s10479-024-06075-5,"Jun 4, 2024 ... ... German canal systems by mainly requiring inland waterway transport. We highlight the benefits of multimodal transportation over single-mode ...",0.8825000000000001,com
New agreement on working time in inland waterways | European ...,https://www.eurofound.europa.eu/en/resources/article/2012/new-agreement-working-time-inland-waterways,"Apr 4, 2012 ... ... German [1], 772Kb PDF) on February 15. It was signed by the ... transport ships in inland waterways across the EU. The agreement ...",0.8753,eu
Integrating inland waterway transport in smart shipping and ...,https://ketmarket.eu/funding/integrating-inland-waterway-transport-in-smart-shipping-and-multimodal-logistics-chains/,"Dec 5, 2024 ... This call aims to enhance the integration of inland waterway transport (IWT) into multimodal logistics chains to increase its modal share.",0.86755,eu
Cry me a river: Germany's inland waterways are drying up,https://www.wartsila.com/insights/article/cry-me-a-river-germany-s-inland-waterways-are-drying-up,"Apr 23, 2019 ... This has forced inland shipping operators to either stop shipping or make multiple trips with lighter vessels to transport the same cargo.",-0.9037,com
NATO Inland Transport as a Potential Rear-Area Target System ...,https://www.rand.org/pubs/notes/N1522.html,This Note provides a brief analytical review of the results of World War II allied air attacks against the German waterway and rail transportation systems.,-0.88915,org
Goods transport by inland waterways in 2022 at lowest level since ...,https://www.destatis.de/EN/Press/2023/03/PE23_119_463.html,"Mar 27, 2023 ... The quantity of goods carried by inland water transport in Germany decreased by 6.4% in 2022 from a year earlier. A total of 182 million ...",-0.87895,de
Convention relating to the limitation of the liability of owners of ...,https://treaties.un.org/pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XI-D-1&chapter=11&clang=_en,Water Transport. 1. Convention relating to the limitation of the liability of owners of inland navigation vessels (CLN) ... The Federal Republic of Germany ...,-0.8592,org
Overland Transport of German Ships During World War II ...,https://www.usni.org/magazines/proceedings/1955/january/overland-transport-german-ships-during-world-war-ii,"Likewise, from the northern German seas there was no through communication via inland waters. ... river transport, as well as traffic police. The transport ...",-0.8062,org
