Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
SEAFAR | LinkedIn,https://za.linkedin.com/company/seafar,... Branche niemand. „Viele potenzielle Nachwuchs-Schiffsführer und ... maritime operations enhancing both safety and efficiency. Read more: https://lnkd ...,0.8243,com
Schritt 3: Informationen über potenzielle Arbeitgeber einholen - HSB ...,https://www.hs-bremen.de/studieren/nach-dem-studium/bewerbung-und-berufseinstieg/karriereleitfaden-fuer-internationale-studierende/schritt-3-ueber-potentielle-arbeitgeber-informieren/,... Branchen für einen maritim geprägten Standort wie Bremen und Bremerhaven. ... Welche Branchen sind besonders vom Fachkräftemangel betroffen? Vor einiger ...,0.26955,de
Wie eine Fleischerei dem Fachkräftemangel trotzt ...,https://www.bremen-innovativ.de/2022/04/wie-eine-fleischerei-dem-fachkraeftemangel-trotzt/,"Apr 1, 2022 ... ... Maritime Wirtschaft & Logistik. Do you like it? Read more · Wie Führungskräfte dazulernen. Der Wandel der Arbeitswelt bedeutet nicht nur, dass ...",0.1806,de
Statustagung Maritime Technologien - PtJ,https://www.ptj.de/foerdermoeglichkeiten/maritime-forschungsstrategie/statustagung,„Die maritime Wirtschaft in Deutschland ist hoch innovativ und hat in vielen ... Ein wesentlicher Grund dafür sei der Fachkräftemangel. „Die ...,0.08355,de
Niedersachsen: Wirtschaftliche Situation im Transportgewerbe ...,https://www.verkehrsrundschau.de/nachrichten/transport-logistik/niedersachsen-wirtschaftliche-situation-im-transportgewerbe-angespannt-3531555,"Jul 9, 2024 ... ... Branche. Felix Jahn, Sprecher der IHK Niedersachsen, erklärt: ""Mehr als ... Deutschland #Fachkräftemangel #Transportpreise. -- Anzeige ...",0.002,de
Maritimes | Energiepreise und Fachkräftemangel belasten Wirtschaft,https://hamburg.t-online.de/region/hamburg/id_100018358/energiepreise-und-fachkraeftemangel-belasten-wirtschaft.html,"Jun 18, 2022 ... Sorgen um hohe Energiekosten und Fachkräftemangel belasten die maritime Wirtschaft in Deutschland. In ihrer Frühjahrsumfrage habe sich der ...",-0.5548,de
Deutscher Bundestag Drucksache 20/7571 Antrag der Fraktionen ...,https://dserver.bundestag.de/btd/20/075/2007571.pdf,"Jul 4, 2023 ... Um dem Fachkräftemangel in der maritimen Branche zu begegnen ... stiegenen Energiekosten belasten die maritime Wirtschaft in Deutschland.",-0.5536000000000001,de
Die Lage bLeibt angespannt,https://www.seaports.de/content/uploads/2023/08/LP_2023_04_Gesamt_V09.pdf,"Aug 31, 2023 ... Fachkräftemangel hinterlässt. „Der Fachkräftemangel bremst ... nehmen der maritimen Branche in Deutschland“ zufolge setzen viele ...",-0.5369,de
Maritime Wirtschaft . IHK Neubrandenburg,https://www.neubrandenburg.ihk.de/standortpolitik/regionale-kooperation/maritime-wirtschaft,... deutsche Wirtschaft. Die volkswirtschaftliche Bedeutung des maritimen Sektors beschränkt sich dabei nicht allein auf die Bereiche der Küstenregionen. Die ...,-0.4592,de
Die Welt als Arbeitsplatz: Schifffahrt sucht Besatzung der Zukunft ...,https://www.reederverband.de/de/die-welt-als-arbeitsplatz-schifffahrt-sucht-besatzung-der-zukunft,"Sep 13, 2023 ... ... maritimen Nachwuchses und die Begeisterung junger Talente für die maritime Wirtschaft. ... Deutsche Handelsschifffahrt: Rückgrat von Wirtschaft ...",-0.4568,de
