Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Maritime Wirtschaft - BMWK,https://www.bmwk.de/Redaktion/DE/Dossier/maritime-wirtschaft.html,Status der maritimen Wirtschaft in Deutschland · Werften/Schiffbau · Seeschiffbau und Offshore-Zulieferindustrie · Handelsflotte · Seehäfen · Meerestechnik.,neutral,de
Deutsches Maritimes Zentrum: Die maritime Branche stärken - DMZ,https://dmz-maritim.de/,"Das Deutsche Maritime Zentrum e.V. ist ein Thinktank, der die maritime Branche unterstützt. Wir setzen auf Innovation und Zukunftsthemen.",negativ,de
Maritimes Cluster Norddeutschland e. V. | LinkedIn,https://www.linkedin.com/company/maritimes-cluster-norddeutschland-e.-v./,"März trifft sich die maritime Branche in Kiel, um die bilaterale Zusammenarbeit zwischen Deutschland und Norwegen zu stärken. Im Fokus: Dekarbonisierung ...",negativ,com
Offshore-Wind-Strom für einen wettbewerbsfähigen ...,http://www.offshore-stiftung.de/de/13-handlungsempfehlungen-deutschlandweites-wirtschaftswunder-meer,"Mar 5, 2025 ... Offshore-Wind und Maritime Wirtschaft als deutschlandweite Aufgabe mit deutschlandweiter Wertschöpfung erkennen ... Branche zu sinnvollen ...",neutral,de
Beschäftigung und Beschäftigtenstruktur in der maritimen Branche ...,https://dmz-maritim.de/beschaeftigung-und-beschaeftigtenstruktur-in-der-maritimen-branche-in-deutschland/,"Aug 6, 2024 ... Das Deutsche Maritime Zentrum (DMZ) hat daher im Rahmen eines Projekts eine Methodik für eine konsistente und kontinuierliche Erhebung der ...",neutral,de
Rolls-Royce: Delivering complex power solutions,https://www.rolls-royce.com/,"Rolls-Royce pioneers cutting-edge technologies that deliver clean, safe & competitive solutions to meet our planet's vital power needs.",positiv,com
Christian Oetjen – Projektmanager - Restrukturierung der maritimen ...,https://de.linkedin.com/in/christian-oetjen-530a56108,"Projektmanager - Restrukturierung der maritimen Branche bei Maritimes Cluster Norddeutschland e.V. ... Hamburg, Hamburg, Deutschland. 423 Follower:innen 419 ...",neutral,com
GES Maritime S. A. - DEUTSCHE YACHTEN - Superyacht Germany,https://www.deutsche-yachten.de/en/competences/ges-maritime-s-a/,A flag-to-measure GES Maritime was founded in 2009 as a shipping company in Luxembourg and authorized by Ministerial Decision for the general management of ...,neutral,de
Maritime Wirtschaft - Herausforderungen und Chancen durch die ...,https://www.ihk-nord.de/produktmarken/schwerpunkte/maritime-wirtschaft-infrastruktur-seeverkehr/nmk-2023-5912922,Euro resultierte. Die maritime Wirtschaft sichert in Deutschland damit bundesweit mehr als 450.000 Arbeitsplätze. Die maritime Branche steht nach der Corona- ...,negativ,de
Maritimes Cluster Norddeutschland e. V. | LinkedIn,https://de.linkedin.com/company/maritimes-cluster-norddeutschland-e.-v.,"Das Maritime Cluster Norddeutschland (MCN) ist das Netzwerk der maritimen Branche mit mehr als 350 Mitgliedern aus Wirtschaft, Wissenschaft und Politik.",neutral,com
Wärtsilä: The global leader in innovative technologies and lifecycle ...,https://www.wartsila.com/,Wärtsilä is a global leader in innovative technologies and lifecycle solutions for the marine and energy markets. We emphasise innovation in sustainable ...,positiv,com
Home Maritimes Cluster Norddeutschland e.V.,https://www.maritimes-cluster.de/,"Im Mai findet der Deutsche Schifffahrtstag in Hamburg statt. Ein Highlight ist die Veranstaltung „Nachwuchsgewinnung für die maritime Branche“, die Schüler ...",negativ,de
Maritime Wertschöpfung und Beschäftigung in Deutschland - DIW ...,https://diw-econ.de/publikationen/maritime-wertschoepfung-und-beschaeftigung-in-deutschland/,"... Branche in Deutschland liegen und wie wichtig es ist, dass die maritime Wirtschaft nach der Covid 19-Pandemie zu ihrer alten Stärke zurückfindet. In den ...",negativ,de
DHL Home - Global Logistics and International Shipping Germany,https://www.dhl.com/de-en/home.html,"If you're looking to immediately ship a document or parcel, explore our options for making on spot or ad hoc shipments.",neutral,com
Für mehr maritime Souveränität in Deutschland und Europa | SPD ...,https://www.spdfraktion.de/presse/pressemitteilungen/mehr-maritime-souveraenitaet-deutschland-europa,"Jul 5, 2023 ... Damit sendet die SPD-Bundestagsfraktion ein starkes Zeichen an die maritime Branche. Die Wettbewerbsfähigkeit soll ausgebaut, maritime ...",negativ,de
Buying and selling shipping loan portfolios | Deutschland ...,https://www.nortonrosefulbright.com/de-de/wissen/publications/f968e154/buying-and-selling-shipping-loan-portfolios,Branche: Transport. Aktuelle Publikationen. artboard. Publikation. Financial Services Regulatory Developments in ESG. ESG is high on the regulatory agenda ...,neutral,com
Cruise Lines International Association: Home,https://cruising.org/home,"... maritime leaders who provide technical expertise, products and services to ... German VersionSpanish VersionFrench VersionItalian VersionNorwegian Version.",neutral,org
Port of Hamburg | Maritime Wirtschaft fit für die Zukunft machen ...,https://www.hafen-hamburg.de/de/presse/news/maritime-wirtschaft-fit-fuer-die-zukunft-machen-nationale-maritime-konferenz-startet-heute-in-friedrichshafen-deutsch-36318/,"May 22, 2019 ... Mit dem Motto „Deutschland maritim: global – smart – green“ greifen wir die zentralen Herausforderungen der Branche auf: Die maritime Branche ...",negativ,de
Maritimes Cluster Norddeutschland e. V.: Informationen und ...,https://www.xing.com/pages/maritimesclusternorddeutschlande-v,... Deutschland und Norwegen zu stärken ... Das Maritime Cluster Norddeutschland fördert und stärkt die Zusammenarbeit in der norddeutschen maritimen Branche.,negativ,com
"Maritime - Richtlinien, Standards und mehr - DNV",https://www.dnv.de/maritime/,"Maritime Kompetenzen in Deutschland: Ship Classification Hub Hamburg ... Neuer Bericht: Maritime Branche ist cyber-risikofreudiger, als andere Industrien.",neutral,de
Maritime Herausforderungen meistern: Ausblick für den deutschen ...,https://qbe.de/widerstandsfaehigkeit-des-sektors/maritime-herausforderungen-meistern-ausblick-fuer-den-deutschen-schifffahrtssektor/,"Feb 7, 2024 ... Der Schifffahrtssektor ist ein wichtiger Bestandteil der Lieferketten in Deutschland. Mit Blick auf die geopolitischen und wirtschaftlichen ...",negativ,de
BSH Präsidentin: „Wir müssen die Faszination der Seefahrt wieder ...,https://www.deutsche-flagge.de/de/aktuelles/nachrichten-archiv/nachrichten-2021/bsh-praesidentin-wir-muessen-die-faszination-der-seefahrt-wieder-sichtbar-machen,"... maritime Bereiche, den fehlenden Nachwuchs in der Schifffahrt und die mangelnde Wahrnehmung der Bedeutung der maritimen Branche für Deutschland.",negativ,de
Höegh Autoliners | Worldwide Shipping and Logistics Solutions,https://www.hoeghautoliners.com/,"Höegh Autoliners is a global RoRo shipping company specialising in port-to-port ocean transportation of automobiles, mining equipment and breakbulk cargo.",positiv,com
Vestas: Global Leader in Sustainable Energy,https://www.vestas.com/en,"3 days ago ... The global leader in sustainable energy solutions. V126 Kaufbeuren, Germany ... We have an unrivalled track record of making wind work at sea, ...",positiv,com
Accelleron – The future of turbocharging today,https://accelleron-industries.com/,"At Accelleron, we continuously innovate to deliver turbocharging, fuel injection, and digital technologies that accelerate sustainability at sea, ...",positiv,com
Maritime Wirtschaft in Deutschland – Wikipedia,https://de.wikipedia.org/wiki/Maritime_Wirtschaft_in_Deutschland,"Die maritime Wirtschaft bzw. maritime Industrie in Deutschland umfasst die Bereiche Seeschifffahrt, Werften mit Zulieferindustrie, Häfen mit Infrastruktur ...",negativ,org
Watson Farley & Williams - International Law Firm,https://www.wfw.com/,... Maritime Corp. Article. Asian leasing models are reshaping maritime funding – opportunities for Germany. Press. WFW advises Guardian Metals on its ...,positiv,com
The World Leader in Maritime Safety | Contact us today,https://www.viking-life.com/,VIKING Life-Saving Equipment: We supply and service the full scope of safety appliances needed to keep lives safe at sea all over the world.,positiv,com
Verband Maritime Wirtschaft Deutschland e.V. ...,https://www.vmwd.org/beruf-karriere/existenzgruendungsberatung-in-der-wassersportbranche,Existenzgründungsberatung in der Wassersportbranche. Ihr Fahrplan zum Erfolg! „Augen auf und durch“ lautet das Motto für erfolgreiche Existenzgründungen. Eine ...,neutral,org
Heligoland - Wikipedia,https://en.wikipedia.org/wiki/Heligoland,"... Germany. In ... Hansa Maritime Journal (in German). No. 12. pp. 46–49. ^ Wehrmann, Anne-Katrin (2013). ""Offshore-Branche ist auf Helgoland angekommen"".",negativ,org
Hansa International Maritime Journal: News,https://hansa-online.de/,"Aarhus, Denmark, Hamburg, Germany. Operations Manager - Christiania Shipping ... maritime Branche. Ob Sie sich für aktuelle Entwicklungen in Schifffahrt ...",neutral,de
NMT Offices & Agents | NMT Shipping — your global Ro/Ro specialist,https://www.nmtshipping.com/contact/nmt-offices-agents/,"NMT Deutschland GmbH. Cuxhavener Straße 10B 28217 Bremen Germany Phone +49 ... NMT International Shipping Dubai, Branche of Abu Dhabi as agents for NMTC B.V. (NMT ...",neutral,com
ROSEN Group,https://www.rosen-group.com/en,"Our passion for innovation drives us to develop cutting-edge technology solutions that deliver profound insights, extend asset life, and optimize performance.",positiv,com
Topsoe,https://www.topsoe.com/,"Transitioning industries to a sustainable future. Marine. As an energy-intensive industry, the marine sector relies on alternative fuels such as ammonia and e ...",positiv,com
Maritime Wirtschaft - BMDV,https://bmdv.bund.de/SharedDocs/DE/Artikel/WS/maritime-wirtschaft.html,Die Maritime Wirtschaft in Deutschland ist ein Wirtschaftszweig mit hoher gesamtwirtschaftlicher Bedeutung. Aufgrund ihrer engen Verflechtungen mit der ...,negativ,de
TERMA | Allies in innovation,https://www.terma.com/,"We deliver advanced technologies to keep people safe. These can be on land, at sea, in the air or in space.",positiv,com
"Maritime Branche benötigt künftig 3,5 Millionen Tonnen Wasserstoff ...",https://www.mdr.de/wissen/news/wasserstoff-bedarf-schifffahrt-deutschland-klima-100.html,"Jul 28, 2023 ... Bis 2045 soll Deutschland den Ampel-Plänen zufolge ""klimaneutral"" sein. Die maritime Branche gilt nach Angaben des Deutschen Maritimen ...",negativ,de
BSH Präsidentin: „Erhalt maritimen Know-Hows in Deutschland ...,https://veus-shipping.com/2021/04/bsh-praesidentin-erhalt-maritimen-know-hows-in-deutschland/,"Apr 26, 2021 ... ... maritime Bereiche, den fehlenden Nachwuchs in der Schifffahrt und die mangelnde Wahrnehmung der Bedeutung der maritimen Branche für Deutschland.",negativ,com
Gesellschaft für Maritime Technik e.V.,https://www.maritime-technik.de/,"Die Meerestechnik entwickelt, produziert und verwendet Technologien für die Erforschung, den Schutz und die nachhaltige Nutzung der Meere.",negativ,de
Logistik und maritime Wirtschaft – Beratung und Prüfung - BDO,https://www.bdo.de/de-de/branchen/logistik-maritime-wirtschaft,... Deutschland Alliance · Globales Netzwerk · Auszeichnungen & Zertifikate · BDO · Branchen. Logistik & maritime Wirtschaft ... Die Branche steht vor großen ...,negativ,de
Branch locator | DB SCHENKER,https://www.dbschenker.com/global/meta/branch-locator,DB SCHENKER Guadeloupe - Service MARITIME/AERIEN. Parc d'Activité d ... Schenker Deutschland AG Schweinfurt. Brüsselstraße 9. 97424 Schweinfurt. Land ...,neutral,com
Förderprogramme - Maritimes - Förderdatenbank,https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMWi/maritimes-forschungsprogramm.html,Das Bundesministerium für Wirtschaft und Klimaschutz ( BMWK ) unterstützt Forschungs- und Technologieprojekte der maritimen Branche am Standort Deutschland.,neutral,de
Anschütz: Integrated Navigation Systems,https://www.anschuetz.com/,Anschütz Germany. +49 ... Anschütz is the world's leading expert in ship navigation systems and maritime solutions tailored to the needs of our customers.,positiv,com
