Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
KI in Branchen in Schleswig-Holstein - KI.SH – Künstliche Intelligenz ...,https://kuenstliche-intelligenz.sh/de/ki-schwerpunkte-und-branchen,Welche KI-Methode kann in welchen Branchen oder Arbeitsbereichen ideal genutzt werden? ... expandAI ist Norddeutschlands führendes KI-Ingenieurbüro. Durch ...,0.3102,sh
homePORT – Reallabor & Innovationshafen Hamburger,https://www.homeport.hamburg/,"Unsere Vision. Gemeinsam mit starken Partnern aus Forschung, Wirtschaft und Politik schaffen wir mit dem homePORT eine ""Triebfeder der maritimen Innovation"" ...",0.2807,hamburg
KI Strategie: Home,https://www.ki-strategie-deutschland.de/,„Artificial Intelligence (AI) made in Germany“ soll zum weltweit anerkannten Gütesiegel werden. · Deutschland soll seine starke Position in der Industrie 4.0 ...,0.23835,de
DIGITALISIERUNG IM DLR,https://event.dlr.de/downloads/ila22/de/digitalisierungsstrategie-des-dlr.pdf,dung von KI-Methoden in der Breite trägt das DLR zu. Durch gezielte KI ... Deutschlands in wichtigen Branchen beitragen. INNOVATIVE AUTONOME SYSTEME ...,0.2222,de
Biogasanlagen - Forschungs- und Entwicklungszentrum FH Kiel ...,https://www.fh-kiel-gmbh.de/de/264.html,... Branche aufgezeigt werden. Hierzu sollen innovative Methoden zur Beschreibung des Anlagenzustandes unter großtechnischen Bedingungen Anwendung finden. Dazu ...,0.2202,de
Deutsches Maritimes Zentrum: Die Denkfabrik für die maritime ...,https://www.welt.de/regionales/hamburg/article176728473/Deutsches-Maritimes-Zentrum-Die-Denkfabrik-fuer-die-maritime-Wirtschaft.html,"May 27, 2018 ... Werften, Reeder und Häfen schauen aus verschiedenen Perspektiven auf die Herausforderungen der Branche. Das Deutsche Maritime Zentrum soll ...",-0.4568,de
INNOVATIONEN FÜR DATENBASIERTE WERTSCHÖPFUNG,https://www.isf-muenchen.de/wp-content/uploads/2023/07/ING_Abschlusspublikation_WEB.pdf,"Anwenderinnen von KI dient die Methode und die Erfah- rung damit als ... maritimen Branche dabei in die Lage versetzt, digitale. Dienstleistungen für ...",-0.4568,de
Expedition in die nördlichste Siedlung der Welt - Helmholtz ...,https://www.helmholtz-hida.de/hida-news/expedition-in-die-nordlichste-siedlung-der-welt/,... Methoden der KI liefern können. Gemeinsam für die Ozeane - die Institutionen ... „Damit ist sie essenzieller Bestandteil der maritimen Branche.“ Es ...,-0.4548,de
Zukunftsstrategie Forschung und Innovation,https://www.bmbf.de/SharedDocs/Publikationen/de/bmbf/1/730650_Zukunftsstrategie_Forschung_und_Innovation.pdf?__blob=publicationFile&v=4,So wird die Förderung im Bereich Computational Life Sciences die Entwick- lung innovativer Methoden Künstlicher Intelligenz (KI) und Softwaretools für die ...,-0.44935,de
Bestands- und Potentialanalyse von Künstlicher Intelligenz KI- DMZ ...,https://dmz-maritim.de/bestands-und-potentialanalyse-von-kuenstlicher-intelligenz-ki-in-den-maritimen-behoerden-des-bmdv/,"Jan 23, 2025 ... Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Institution, die die maritime Branche unterstützt. Wir setzen auf Innovationskraft und ...",-0.4158,de
