Titel,Token,Sentiment-Score
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,deutsche,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,schifffahrt,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,:,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,start,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,des,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,eu,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,-,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,emissionshandels,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,verzögert,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,sich,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,.,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,feb,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,16,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,",",0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,2024,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,die,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,verpflichtet,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,seit,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,diesem,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,jahr,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,reedereien,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,mit,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,schiffen,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,ab,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,5,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,000,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,brz,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,häfen,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,anlaufen,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,emissions,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,zertifikate,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,für,0.0
Deutsche Schifffahrt: Start des EU-Emissionshandels verzögert sich ...,den,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,eu,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,-,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,emissionshandel,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,1,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,(,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,ets,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,),0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,seeverkehr,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,die,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,emissionen,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,aus,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,schiffsfahrten,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,innerhalb,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,des,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,europäischen,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,wirtschaftsraums,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,ewr,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,und,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,aufgrund,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,von,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,hafenaufenthalten,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,sind,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,zu,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,100,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,prozent,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,vom,0.0
EU-Emissionshandel 1 (EU-ETS 1) - Seeverkehr,.,0.0
Emissionshandelsverpflichtung in der Schifffahrt,emissionshandelsverpflichtung,0.0
Emissionshandelsverpflichtung in der Schifffahrt,in,0.0
Emissionshandelsverpflichtung in der Schifffahrt,der,0.0
Emissionshandelsverpflichtung in der Schifffahrt,schifffahrt,0.0
Emissionshandelsverpflichtung in der Schifffahrt,sep,0.0
Emissionshandelsverpflichtung in der Schifffahrt,27,0.0
Emissionshandelsverpflichtung in der Schifffahrt,",",0.0
Emissionshandelsverpflichtung in der Schifffahrt,2023,0.0
Emissionshandelsverpflichtung in der Schifffahrt,.,0.0
Emissionshandelsverpflichtung in der Schifffahrt,januar,0.0
Emissionshandelsverpflichtung in der Schifffahrt,2024,0.0
Emissionshandelsverpflichtung in der Schifffahrt,das,0.0
Emissionshandelsverpflichtung in der Schifffahrt,emissionshandelssystem,0.0
Emissionshandelsverpflichtung in der Schifffahrt,europäischen,0.0
Emissionshandelsverpflichtung in der Schifffahrt,union,0.0
Emissionshandelsverpflichtung in der Schifffahrt,aufgenommen,0.0
Emissionshandelsverpflichtung in der Schifffahrt,die,0.0
Emissionshandelsverpflichtung in der Schifffahrt,eu,0.0
Emissionshandelsverpflichtung in der Schifffahrt,-,0.0
Emissionshandelsverpflichtung in der Schifffahrt,richtlinie,0.0
Emissionshandelsverpflichtung in der Schifffahrt,zum,0.0
