Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Die maritime Branche stärken - DMZ | German Maritime Centre,https://dmz-maritim.de/en/,The German Maritime Centre is an independent institution that supports the maritime sector. We focus on innovative strength and the topics of the future to ...,positiv,de
Deutsches Maritimes Zentrum – Wikipedia,https://de.wikipedia.org/wiki/Deutsches_Maritimes_Zentrum,"Das Deutsche Maritime Zentrum (DMZ) ist ein Verein, der als nationale Plattform der deutschen maritimen Wirtschaft dient.",neutral,org
Deutsches Maritimes Zentrum: Die maritime Branche stärken - DMZ,https://dmz-maritim.de/,"Unser Ziel: Die maritime Branche stärken. Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Einrichtung, die die maritime Branche unterstützt. · Wissens – ...",negativ,de
"Dr. Martin Kröger, LL.M. - Greater Hamburg Area | Professional ...",https://de.linkedin.com/in/drmartinkroeger/en,International Chamber of Shipping. Member of the Board · Deutsches Maritimes Zentrum DMZ · German Maritime Law Association -DVIS · German Offshore Wind Energy ...,positiv,com
Stellenangebote - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/stellenangebote/,Schlägt Ihr Herz für die maritime Branche? Kommen Sie in unser Team und engagieren Sie sich für die Zukunft der Branche.,negativ,de
German Shipbuilders Strong In A Weak World Market,https://www.marinelink.com/news/shipbuilders-german416582,"Oct 7, 2016 ... ... German maritime community. German shipyards bucked the global ... Maritime Research Coordination Center (Deutsches Maritimes Zentrum, DMZ).",positiv,com
Team - DMZ | German Maritime Centre,https://dmz-maritim.de/en/team/,Get to know our colleagues and their fields of work ...,neutral,de
Deutsches Maritimes Zentrum: Thinktank und vier Handlungsfelder ...,https://hamburg-business.com/de/news/deutsches-maritimes-zentrum-thinktank-und-vier-handlungsfelder,"Jun 10, 2021 ... Das DMZ versteht sich dabei als Bindeglied zwischen den maritimen Akteuren vorwiegend im Inland und im europäischen Kontext, aber auch darüber ...",neutral,com
Team - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/team-uebersicht/,"Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Institution, die die maritime Branche unterstützt. Wir setzen auf Innovationskraft und Zukunftsthemen, ...",negativ,de
Deutsches Maritimes Zentrum - YouTube,https://www.youtube.com/channel/UCLikR8hLO3hJZlHWVSBQHaA,Learn more. Deutsches Maritimes Zentrum. Home. Shorts. Library. Deutsches Maritimes Zentrum. @dmz-maritim. 54 subscribers•31 videos. Das Deutsche Maritime ...,neutral,com
Daniel Duecker – Breaking the Surface,https://bts.fer.hr/speaker/daniel-duecker/,"Oct 2, 2024 ... Furthermore, he received the distinct teaching award by Deutsches Maritimes Zentrum (DMZ) in 2022. All session by Daniel Duecker. Let's ...",positiv,hr
Deutsches Maritimes Zentrum e.V. hiring Projektmanager*in ...,"https://www.glassdoor.com/job-listing/projektmanager-in-maritime-logistikprozesse-w-m-d-deutsches-maritimes-zentrum-e-v-JV_IC2804376_KO0,49_KE50,81.htm?jl=1009643678281",PROJEKTMANAGER*IN MARITIME LOGISTIKPROZESSE (W/M/D) ÜBER UNS Das Deutsche Maritime Zentrum (DMZ) ist der Thinkta... See this and similar jobs on Glassdoor.,neutral,com
Deutsches Maritimes Zentrum erhält Verstärkung,https://hansa-online.de/2019/10/personalien/137014/dmz-erhaelt-verstaerkung/,"Oct 8, 2019 ... Das Deutsche Maritime Zentrum (DMZ) hat zum 1. Oktober zwei neue Referenten und einen neuen wissenschaftlichen Mitarbeiter bekommen.",neutral,de
Das Maritime Cluster Norddeutschland ist Mitglied im Deutschen ...,https://www.maritimes-cluster.de/presse/das-maritime-cluster-norddeutschland-ist-mitglied-im-deutschen-maritimen-zentrum/,"Nov 29, 2018 ... Das Maritime Cluster Norddeutschland (MCN) freut sich, als neuestes Mitglied in das Deutsche Maritime Zentrum (DMZ) aufgenommen zu sein.",neutral,de
Port of Hamburg | Deutsches Maritimes Zentrum: Dr.-Ing. Wolfgang ...,https://www.hafen-hamburg.de/de/presse/news/deutsches-maritimes-zentrum-dr-ing-wolfgang-sichermann-wird-geschaeftsfuehrer-35644/,"Feb 12, 2018 ... Wolfgang Sichermann wird Geschäftsführer des neuen Deutschen Maritimen Zentrums e.V. (DMZ) in Hamburg. Der 42-Jährige wird den Posten am 1 ...",neutral,de
Claus Brandt wechselt zum DMZ - DVZ,https://www.dvz.de/personalien/detail/news/claus-brandt-wechselt-zum-dmz.html,"Jun 19, 2020 ... Mit Claus Brandt bekommt das Deutsche Maritime Zentrum (DMZ) einen in maritimen Belangen sehr erfahrenen neuen Geschäftsführer.",neutral,de
Ehrung für die besten maritimen Lehrkräfte — Startseite,https://www.deutsche-flagge.de/de/aktuelles/nachrichten-archiv/nachrichten-2022/ehrung-fuer-die-besten-maritimen-lehrkraefte,"... (Deutsches Maritimes Zentrum). Bereits zum zweiten Mal hatte das Deutsche Maritime Zentrum (DMZ) den Wettbewerb für ""Hervorragende akademische Lehre ...",negativ,de
Jahrb&#x00fc;cher f&#x00fc;r National&#x00f6;konomie und Statistik,https://elib.dlr.de/198795/1/2023_Heinisch%20et%20al_The%20IWH%20Forecasting%20Dashboard.pdf,"Stuttgart, Germany, E-mail: karsten.mueller@dlr.de. Johannes Puckelwald, Deutsches Maritimes Zentrum Hamburg, Hamburg, Germany,. E-mail: Puckelwald@dmz-maritim.",neutral,de
German Maritime Centre - waterborne.eu,https://waterborne.eu/about/members-overview/research-organisations/dmz,"The German Maritime Centre, founded in 2017, is an independent and publicly funded cross-sector think tank based in Hamburg.",neutral,eu
