Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Handlungsfelder - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/handlungsfelder/,"Unsere Arbeitsbereiche umfassen die Wertschöpfungsketten in den Bereichen Schiffbau und Meerestechnik, Schifffahrt sowie Häfen und maritime Logistik.",negativ,de
Wasserstoffbetriebene Binnenschiffe - DMZ | Deutsches Maritimes ...,https://dmz-maritim.de/wasserstoffbetriebene-binnenschiffe/,"Feb 16, 2022 ... Dies gilt auch für die Binnenschifffahrt. Das Deutsche Maritime Zentrum hat im Juni 2021 einen Auftrag an Lloyd's Register erteilt, eine Studie ...",negativ,de
Themen und Projekte - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/themen-und-projekte/,"Das Deutsche Maritime Zentrum folgte der Einladung der Bundesregierung, um am 25. Februar 2025 Lösungen für die Fachkräftesicherung zu diskutieren. Das DMZ ...",negativ,de
Klebetechnologien für den Schiffbau - DMZ | Deutsches Maritimes ...,https://dmz-maritim.de/klebetechnologien-fuer-den-schiffbau/,"May 25, 2020 ... Das Deutsche Maritime Zentrum hat 2019 die Erstellung einer Studie „Untersuchungen zum aktuellen internationalen Stand der Technik bezüglich ...",negativ,de
Hintergrund – Future Fuels - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/hintergrund-future-fuels/,"Jan 25, 2022 ... ... maritime-moonshot/, 07.10.2021. 4) https://www.dmz-maritim.de/handlungsfelder/themen-und-projekte/das-deutsche-maritime-zentrum-gibt-eine ...",neutral,de
Kraftstoff-Analyse in der Schifffahrt nach Schiffssegmenten - DMZ ...,https://dmz-maritim.de/energietraeger-der-zukunft-kraftstoff-analyse-in-der-schifffahrt-nach-schiffssegmenten/,"Apr 27, 2022 ... Das Deutsche Maritime Zentrum (DMZ) hat 2021 die Ramboll Deutschland GmbH beauftragt, in einer Studie eine Übersicht der für die Schifffahrt ...",negativ,de
Feel Maritime – Talente für den nachhaltigen Wandel - DMZ ...,https://dmz-maritim.de/feel-maritime/,"Dec 5, 2023 ... Eines unserer Handlungsfelder befasst sich intensiv mit dem Thema Nachwuchssicherung. Es ist uns ein Anliegen die Aufmerksamkeit junger ...",negativ,de
Für die maritime Branche - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/organisation/,"die maritime Branche auf europäischer und internationaler Ebene unterstützen. Unsere Handlungsfelder sind: Wettbewerbsfähigkeit, Nachhaltigkeit und Klimawandel, ...",negativ,de
Maritimer Förderkompass - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/maritimer-foerderkompass-europa/,Wir wollen die Vielfalt der maritimen Branche abbilden und sie in ihrer nachhaltigen Transformation unterstützen sowie interessierte Menschen und maritime ...,negativ,de
Evaluierung Einfuhrumsatzsteuerverfahren - DMZ | Deutsches ...,https://dmz-maritim.de/evaluierung-des-erhebungsverfahrens-zur-einfuhrumsatzsteuer/,"Mar 29, 2023 ... Das Deutsche Maritime Zentrum hatte im Frühjahr 2021 eine Studie an die Hanseatic Transport Consultancy Dr. Ninnenmann & Dr. Rössler GbR und die ...",negativ,de
Veröffentlichungen - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/veroeffentlichungen/,"Veröffentlichungen. Das Deutsche Maritime Zentrum erstellt und vergibt Aufträge zur Erstellung von Studien, die Sie hier herunterladen können.",negativ,de
Social Media für die Maritime Branche - DMZ | Deutsches Maritimes ...,https://dmz-maritim.de/social-media-fuer-die-maritime-branche/,"Oct 20, 2021 ... Ob bei der Suche nach Jobs, Produkten, Services und Informationen oder in der zwischenmenschlichen Kommunikation – digitale Medien werden ...",negativ,de
Presse: IdeenExpo 2024- DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/nachlese-feel-maritime-ideenexpo/,"Jun 19, 2024 ... Juni in Hannover ihren Besucherrekord. Davon profitierte auch die maritime Branche. Unter dem Motto „Feel Maritime – Talente für nachhaltigen ...",negativ,de
