Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Deutsche Offshore Schifffahrt – Very versatile vessels for the ...,https://deutscheoffshore.com/,Deutsche Offshore Schifffahrt (German Offshore Shipping) will be entering the offshore energy market with four construction commissioning service operation ...,positiv,com
András Schiff - Deutsche Grammophon,https://store.deutschegrammophon.com/en/collections/andras-schiff,"Brahms / Schumann ... CD ... 18,99 ... https://images.bravado.de/prod/product-assets/.",neutral,com
Deutsche Schiff- und Maschinenbau - Wikipedia,https://en.wikipedia.org/wiki/Deutsche_Schiff-_und_Maschinenbau,Deutsche Schiff- und Maschinenbau · Language · Watch · Edit. Learn more. This article needs additional citations for verification. Please help improve this ...,positiv,org
Schoeller and Deutsche Offshore Schifffahrt sign for newbuild ...,https://splash247.com/schoeller-and-deutsche-offshore-schifffahrt-sign-for-newbuild-quartet-in-china/,"Sep 25, 2024 ... Schoeller and Deutsche Offshore Schifffahrt sign for newbuild quartet in China ... Schoeller Holdings and Deutsche Offshore Schifffahrt have ...",neutral,com
Schiff: Complete Recordings On Philips & DG - Deutsche ...,https://store.deutschegrammophon.com/en/products/heinrich-schiff-schiff-complete-recordings-on-philips-dg,"The limited Edition features 21 CDs, all presented in their original jackets and new liner notes in a 24 pages booklet with many archive photographs.",positiv,com
BACH The Well-tempered Clavier I / A. Schiff | Deutsche Grammophon,https://www.deutschegrammophon.com/en/catalogue/products/bach-the-well-tempered-clavier-i-a-schiff-663,"Johann Sebastian Bach - The Well-Tempered Clavier I - András Schiff - April 14, 1986 - Filter shops: Audio Video Streaming Download Digital",neutral,com
Schoeller Holdings and Deutsche Offshore Schifffahrt Order Four ...,https://breakbulk.news/schoeller-holdings-and-deutsche-offshore-schifffahrt-order-four-groundbreaking-vessels-for-offshore-energy-sector/,"Sep 24, 2024 ... These vessels, ordered from CSSC Huangpu Wenchong Shipbuilding Co., Ltd., are set to be delivered starting in early 2027, offering a revolutionary approach to ...",neutral,news
"ANDRÁS SCHIFF AT THE TEATRO OLIMPICO, VICENZA (Visual ...",https://www.deutschegrammophon.com/en/catalogue/products/andras-schiff-at-the-teatro-olimpico-vicenza-visual-album-12740,"András Schiff. June 24, 2022. Filter shops: Audio Video. Streaming Download. Apple Music Album Apple Music Playlist. Label Deutsche Grammophon (DG). UPC",neutral,com
German JV Orders Four New Vessels For Offshore Energy,https://www.marinelink.com/news/german-jv-orders-four-new-vessels-517374,"Sep 24, 2024 ... A joint venture between Schoeller Holdings and Deutsche Offshore Schifffahrt has ordered four construction commissioning service operation vessels (C-CSOVs) ...",positiv,com
telekom/das-schiff: This is home of Das Schiff - Deutsche ... - GitHub,https://github.com/telekom/das-schiff,Das Schiff. Das SCHIFF is a GitOps based Kubernetes Cluster as a Service platform almost exclusively built using open-source components. Created by and intended ...,positiv,com
