Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Handlungsfelder - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/handlungsfelder/,"... Nachhaltigkeit und Klimawandel, Technologischer Wandel, Demografie ... Die maritime Branche trägt eine große Verantwortung für den Umwelt- und Klimaschutz.",negativ,de
Maritime Wirtschaft - BMWK,https://www.bmwk.de/Redaktion/DE/Dossier/maritime-wirtschaft.html,"Nachhaltigkeit im Schiffsverkehr fördern ... Weltleitmesse der maritimen Wirtschaft in Hamburg – Digitale Transformation, Klimawandel und maritime Energiewende im ...",neutral,de
Das Deutsche Maritime Zentrum,https://dmz-maritim.de/dmz_konzept/,"im Hinblick auf Finanzierungsmodelle, die der deutschen maritimen Wirtschaft die Umsetzung von. Innovationen ermöglichen. Nachhaltigkeit und Klimawandel.",negativ,de
Deutsches Maritimes Zentrum: Thinktank und vier Handlungsfelder ...,https://hamburg-business.com/de/news/deutsches-maritimes-zentrum-thinktank-und-vier-handlungsfelder,"Jun 10, 2021 ... ... Nachhaltigkeit und Klimawandel sowie die kommenden Generationen für die maritime Branche zu begeistern“, erklärt Geschäftsführer Claus Brandt.",negativ,com
Siebter Bericht der Bundesregierung über die Entwicklung und ...,https://www.bmwk.de/Redaktion/DE/Publikationen/Maritime%20Wirtschaft/maritime-wirtschaft-bericht.pdf?__blob=publicationFile&v=4,"Jun 1, 2021 ... Klima- und Umweltschutz – Energiewende in der maritimen Wirtschaft ... Mai 2019 „Nachhaltige maritime Wirt- schaftspolitik umsetzen“ vom 14.",negativ,de
"Green Methanol Fuel, OCI Hyfuel | OCI Global",https://oci-global.com/de/products-solutions/methanol/hyfuels/,"Da die maritime Industrie navigiert, um die Regulierung zu erhöhen, um die Dekarbonisierung wie die neuesten Aktualisierungen der Fueleu -Maritime ...",negativ,com
Das EU-ETS und die maritime Wirtschaft,https://spedition-seefracht.de/de/blog/das-eu-ets-und-die-maritime-wirtschaft,"Jan 4, 2024 ... Die zentrale Frage im umweltökonomischen Diskurs lautet daher: Wie kann die Schifffahrtsbranche den Übergang zur Nachhaltigkeit vollziehen, ohne ...",negativ,de
JPI Oceans – FONA,https://www.fona.de/de/massnahmen/foerdermassnahmen/jpi-oceans.php,"Nov 8, 2024 ... Die formulierten Kernziele und Problemfelder von JPI Oceans berühren die marine Umwelt, den Klimawandel, die maritime Wirtschaft und die ...",negativ,de
Nachhaltigkeit betrifft auch Seeleute | DUCKDALBEN international ...,https://duckdalben.de/page/blog/Nachhaltigkeit%20betrifft%20auch%20Seeleute/,"Apr 9, 2022 ... Es sei viel zu kurz gegriffen, Nachhaltigkeit in der maritimen Wirtschaft allein auf die Bereiche Umwelt und Klima zu beziehen. Zur ...",negativ,de
"Wie finnische Innovationen helfen, die maritime Industrie ...",https://finland.fi/de/business-amp-innovation/wie-finnische-innovationen-helfen-die-maritime-industrie-nachhaltiger-zu-gestalten/,... maritime Industrie nachhaltig gestalten wird. Doch uns läuft die Zeit davon ... Auch wenn sich der Klimawandel eindeutig auf die finnischen ...,negativ,fi
Deutsches Maritimes Zentrum | LinkedIn,https://de.linkedin.com/company/deutsches-maritimes-zentrum,Deutsches Maritimes Zentrum | 2.220 Follower:innen auf LinkedIn. Unser Ziel: Die maritime Branche stärken | Das Deutsche Maritime ... Branche nachhaltig steigern ...,negativ,com
Nachhaltige Logistikimmobilien: Warum wir heute nachhaltig bauen ...,https://www.wfb-bremen.de/de/page/stories/maritime-wirtschaft-und-logistik/gruene-logistik-immobilien-goodman,"Aug 24, 2021 ... In unserem Heimatland kann man den fortschreitenden Klimawandel ... maritime Industrie in Norddeutschland bietet. Wo früher Schiffe vom ...",neutral,de
Ihre Karriere bei Deutsches Maritimes Zentrum e.V. | StepStone,https://www.stepstone.de/cmp/de/Deutsches-Maritimes-Zentrum-e-V-195712/uber-das-unternehmen.html,"die maritime Branche auf europäischer und internationaler Ebene unterstützen. Unsere Handlungsfelder sind: Wettbewerbsfähigkeit, Nachhaltigkeit und Klimawandel, ...",negativ,de
Nachhaltigkeit & Energie | ifh Göttingen,https://ifh.wiwi.uni-goettingen.de/forschung/nachhaltigkeit-energie/,"-S., Meub, L. & Proeger, T. Wasserstoff-Infrastruktur und maritime Wirtschaft. Technische… Das deutsche System von Energieerzeugung und -verbrauch ist im ...",neutral,de
SCHLÜSSEL ZU INNOVATIONEN 2030 STRATEGIE FÜR ...,https://www.wirtschaft.bremen.de/sixcms/media.php/13/Broschu%CC%88re_Schlu%CC%88ssel-zu-Innovationen-2030_Web.28343.pdf,"37 Klimawandel, Klimaschutz und nachhaltige. Nutzung der Umwelt stehen im Fokus dieses und anderer ... > Maritime Wirtschaft: maritime Technologien/Schiffbau. > ...",neutral,de
Schifffahrt und Meerestechnik - NKS KEM,https://www.nks-kem.de/mobilitaet/schifffahrt-und-meerestechnik,"Ziel des EU-​Rahmenprogramms Horizon Europe ist es, nachhaltige, klima-​ und umweltfreundliche Lösungen für maritime Transport-​ und Technologiebereiche zu ...",neutral,de
Maritime Wirtschaft - Herausforderungen und Chancen durch die ...,https://www.ihk-nord.de/produktmarken/schwerpunkte/maritime-wirtschaft-infrastruktur-seeverkehr/nmk-2023-5912922,"Im Rahmen der 13. Nationalen Maritimen Konferenz in Bremen stehen deshalb die vier Themenschwerpunkte Klima- und Meeresschutz, Maritime Energiewende, Maritime ...",negativ,de
„Da geht mehr!“ - Kurs zum Umweltbewusstsein im maritimen Sektor,https://newsroom.jade-hs.de/magazin/da-geht-mehr-kurs-zum-umweltbewusstsein-im-maritimen-sektor,"Oct 21, 2019 ... Nachhaltigkeit ist derzeit ein allgegenwärtiger Begriff. Die Folgen von Klimawandel und Umweltverschmutzung sind real und auch wenn es ...",negativ,de
Investitionen für eine nachhaltige Meereswirtschaft,https://www.geomar.de/news/article/sustainable-blue-economy-investitionen-fuer-eine-nachhaltige-meereswirtschaft,„Die Digitalisierung und der Einsatz digitaler Technologien innerhalb der maritimen Branche bieten enormes Skalierungspotenzial im wirtschaftlichen und ...,neutral,de
Bekanntmachung,https://www.bundesanzeiger.de/pub/publication/U1RaUGygxl7HYjdT2Er/content/U1RaUGygxl7HYjdT2Er/BAnz%20AT%2030.08.2023%20B2.pdf?inline,"Aug 30, 2023 ... ... Nachhaltigkeit maritimer Aktivitäten und. Nutzung ... Auch die maritime Branche hat das Abmildern des Klimawandels als Aufgabe aufgegriffen.",negativ,de
DAM News: Die DAM stellt sich vor,https://www.allianz-meeresforschung.de/news/dam-fuer-nachhaltigkeit,"Deutschen Allianz Meeresforschung DAM für Nachhaltigkeit . Das FUTURIUM ... Norbert Brackmann, Koordinator der Bundesregierung für die maritime Wirtschaft ...",negativ,de
"Klimawandel: Studie zeigt, wie Schifffahrt nachhaltig werden kann",https://www.riffreporter.de/de/umwelt/klimaneutraler-seehandel-schifffahrt-studie-methanol-ammoniak-2050,"Jan 20, 2022 ... Wenn die Wirtschaft jetzt mit der Transformation beginnt, könnte der internationale Seehandel bis 2050 klimaneutral sein, ohne nennenswert ...",negativ,de
Nationale Hafenstrategie - BMDV,https://bmdv.bund.de/DE/Themen/Mobilitaet/Wasser/Hafenstrategie/hafenstrategie.html,"Mar 20, 2024 ... ... Klimawandel, den russischen Angriffskrieg auf die Ukraine, die ... Zusammen mit hochrangigen Gästen aus der maritimen Branche haben die ...",negativ,de
Challenges – Ocean Re-Creation Challenge,https://ocean-re-creation.de/mitmachen/challenges/,"Sep 11, 2024 ... Herausforderungsfeld 4: Nachhaltige & faire maritime Wirtschaft; Herausforderungsfeld 5: Ozean und Klimawandel; Herausforderungsfeld 7 ...",positiv,de
