Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
"Seehafen - Wiktionary, the free dictionary",https://en.wiktionary.org/wiki/Seehafen,See also: Seehäfen. Contents. 1 German. 1.1 Etymology; 1.2 Pronunciation; 1.3 Noun. 1.3.1 Declension; 1.3.2 Related terms. 1.4 See also; 1.5 Further reading ...,0.7553000000000001,org
Regierungsstreit um chinesische Hafenbeteiligung,https://www.lto.de/recht/kanzleien-unternehmen/k/hamburger-hafen-hhla-container-terminal-ctt-einstieg-beteiligung-cosco-china-politik-wirtschaft-olaf-scholz,"Oct 20, 2022 ... Deutsche Häfen gehören nicht in chinesische Hand. Zumal Europäer sich in China nicht an Häfen beteiligen können."" Hamburgs Bürgermeister ...",0.24895,de
Deutsche Seehäfen legen bei Umschlag zu - Hamburg verliert im ...,"https://www.ndr.de/nachrichten/hamburg/Deutsche-Seehaefen-legen-bei-Umschlag-zu-Hamburg-verliert-im-Vergleich,hamburgerhafen218.html","Mar 18, 2025 ... Größtes Plus bei Gesamtumschlag in Wilhelmshaven. Besonders groß ist das Plus in Wilhelmshaven mit knapp 16 Prozent. In Bremerhaven wurden ...",0.11748333333333334,de
XXL-Doku: Hinter den Kulissen von Deutschlands Mega Häfen ...,https://www.youtube.com/watch?v=UElO619udJE,"Sep 28, 2023 ... XXL-Doku: Hinter den Kulissen von Deutschlands Mega Häfen | Spark Deutschland. 2.1M views · 1 year ago #schiffe #hafen #sparkdeutschland ...more ...",0.11315,com
Güterumschlag in deutschen Seehäfen,https://www.gefahrgut.de/themen/seeverkehr--imdg-code/gueterumschlag-in-deutschen-seehaefen,"Jan 21, 2011 ... Mengenmäßig und prozentual kräftig zugenommen hat der Umschlag stark konjunkturrelevanter Güter wie Erze und Metallabfälle (plus 47 Prozent) ...",0.0612,de
Wichtige Rolle der deutschen Seehäfen: Warum sie für ...,https://www.americanexpress.com/de-de/kampagnen/guide/news/news/die-bedeutung-der-deutschen-seehaefen-warum-sie-fuer-deutschland-unverzichtbar-sind-19326,"Mar 24, 2025 ... Für Deutschland sind seine Häfen unerlässlich. Ohne sie könnte die exportorientierte Wirtschaft größtenteils zusammenbrechen und die Bevölkerung ...",-0.58165,com
Seehäfen: Neuer Tarifvertrag für die 11.500 Beschäftigten | ver.di,https://www.verdi.de/themen/nachrichten/++co++88070794-2249-11ef-a49a-a310c1e65e35,Die beiden Angebote der Arbeitgeber hatten die ver.di-Mitglieder bei den deutschen Nordseehäfen abgelehnt. In den Nachverhandlungen legten die Arbeitgeber ...,-0.47425,de
„Die deutschen Seehäfen sind systemrelevant.“ | BLG LOGISTICS,https://www.blg-logistics.com/presse/die-deutschen-seehaefen-sind-systemrelevant,"Sep 11, 2023 ... Die bremischen Häfen sind zentrale Drehkreuze der maritimen Wirtschaft in Deutschland und die NMK die zentrale Veranstaltung der Bundesregierung ...",-0.4568,com
"Nachbericht zur Veranstaltung ""Die Bedeutung der deutschen ...",https://www.ihk-nrw.de/hauptnavigation/presse/bedeutung-seehaefen-nrw-5210020,"Jul 5, 2017 ... Die Bedeutung der deutschen Seehäfen für die NRW-Wirtschaft Ergebnisse der Diskussionsveranstaltung am 05.07.2017 in Düsseldorf.",-0.4568,de
german ports,https://www.ihk.de/blueprint/servlet/resource/blob/2640266/3fe23c79133a688ec5114f8d41e0fed6/german-ports-guide-teil-2-data.pdf,Die Fischerei- und Lebensmittel- branche ist ebenso in den Häfen präsent wie die Onshore- und Offshore-Windindustrie. Last but not least sind die Häfen durch ...,-0.441,de
