Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Handlungsfelder - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/handlungsfelder/,"... Klimaschutz. Der Klimawandel und seine ... Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Institution, die die maritime Branche unterstützt.",negativ,de
Maritime Wirtschaft - BMWK,https://www.bmwk.de/Redaktion/DE/Dossier/maritime-wirtschaft.html,"... maritime Branche am Standort Deutschland zu stärken. Er dient der ... Weltleitmesse der maritimen Wirtschaft in Hamburg – Digitale Transformation, Klimawandel und ...",neutral,de
Das Deutsche Maritime Zentrum,https://dmz-maritim.de/dmz_konzept/,"im Hinblick auf Finanzierungsmodelle, die der deutschen maritimen Wirtschaft die Umsetzung von. Innovationen ermöglichen. Nachhaltigkeit und Klimawandel.",negativ,de
Deutsches Maritimes Zentrum: Thinktank und vier Handlungsfelder ...,https://hamburg-business.com/de/news/deutsches-maritimes-zentrum-thinktank-und-vier-handlungsfelder,"Jun 10, 2021 ... ... Nachhaltigkeit und Klimawandel sowie die kommenden Generationen für die maritime Branche zu begeistern“, erklärt Geschäftsführer Claus Brandt.",negativ,com
"Wuppertal Institut für Klima, Umwelt, Energie: Home",https://wupperinst.org/,Technologie-Roadmap für die Defossilisierung der petrochemischen Industrie in Deutschland ... Die Institute betreiben nachhaltige und zukunftsorientierte ...,negativ,org
Maritime Wirtschaft - Herausforderungen und Chancen durch die ...,https://www.ihk-nord.de/produktmarken/schwerpunkte/maritime-wirtschaft-infrastruktur-seeverkehr/nmk-2023-5912922,Die maritime Wirtschaft sichert in Deutschland damit bundesweit mehr als 450.000 Arbeitsplätze. ... Maritime Energiewende für Klima und Meeresschutz.,negativ,de
Nationale Hafenstrategie - BMDV,https://bmdv.bund.de/DE/Themen/Mobilitaet/Wasser/Hafenstrategie/hafenstrategie.html,"Mar 20, 2024 ... Die Parlamentarische Staatssekretärin Frau Daniela Kluckert und der Koordinator der Bundesregierung für Maritime Wirtschaft und Tourismus Herr ...",negativ,de
Nachhaltigkeit im globalen Handel mit Wildpflanzen: Die Rolle und ...,https://www.bfn.de/projektsteckbriefe/nachhaltigkeit-im-globalen-handel-mit-wildpflanzen-die-rolle-und,... Industrie und den Markt in Deutschland zu gewinnen. Wichtige Akteur*innen entlang der Wertschöpfungsketten sollen identifiziert werden und in Interaktion ...,negativ,de
Deutscher Nachhaltigkeitspreis: Startseite,https://www.nachhaltigkeitspreis.de/,zehn Vorreiter pro Branche ... Der Deutsche Nachhaltigkeitspreis Gesundheit setzt die wichtige Verbindung zwischen Gesundheit und Nachhaltigkeit in den Fokus.,negativ,de
Biosphärenreservate: Erfolgsfaktor für regionale Wirtschaft und ...,https://www.bfn.de/pressemitteilungen/biosphaerenreservate-erfolgsfaktor-fuer-regionale-wirtschaft-und-nachhaltigkeit,"Oct 30, 2023 ... ... Deutschland vor. Eines der Ergebnisse ist, dass ... Biosphärenreservate: Erfolgsfaktor Für Regionale Wirtschaft und Nachhaltigkeit ...",neutral,de
Unternehmen | Deutscher Nachhaltigkeitspreis,https://www.nachhaltigkeitspreis.de/unternehmen,"Klimawandel, Ressourcenknappheit und ... Deutsche Nachhaltigkeitspreis im MARITIM Hotel Düsseldorf die führenden Unternehmen nachhaltiger Wirtschaft.",negativ,de
2025 nachhaltig & innovativ in See stechen! — Startseite,https://www.deutsche-flagge.de/de/aktuelles/maritimer_kalender/2025-nachhaltig-innovativ-in-see-stechen,Das Thema Nachhaltigkeit bewegt die gesamte maritime Branche und ist äußerst facettenreich. Die zu beachtenden Regularien im Bereich Klimaschutz und ...,negativ,de
BSH - Startseite,https://www.bsh.de/,Homepage des Bundesamts für Seeschifffahrt und Hydrographie (BSH),neutral,de
"Bibliothek: Publikationen, Stellungnahmen und Positionspapiere | BDI",https://bdi.eu/media/publikationen,"Quartalsbericht Deutschland: Deutsche Wirtschaft im Jahr 2024 um 0,2 Prozent geschrumpft ... Nachhaltigkeitsberichterstattung in Deutschland. 06/28/2024. Zur ...",neutral,eu
Nachhaltigkeit & Energie | ifh Göttingen,https://ifh.wiwi.uni-goettingen.de/forschung/nachhaltigkeit-energie/,"Wasserstoff-Infrastruktur und maritime Wirtschaft. Technische… Das deutsche System von Energieerzeugung und -verbrauch ist im Umbruch, was mit erheblichen ...",neutral,de
Für Lehrkräfte - maritimerpfadfinder,https://maritimerpfadfinder.de/fuer-lehrkraefte,"... Nachhaltigkeit setzt. Die Energiewende, der Klima- und ... Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Einrichtung, die die maritime Branche ...",negativ,de
Deutscher Bundestag Drucksache 20/14980 --- Deutsche ...,https://dserver.bundestag.de/btd/20/149/2014980.pdf,"Feb 18, 2025 ... Wirtschaft hin zur Nachhaltigkeit. Bei der Umsetzung der notwendigen Maßnahmen wird sich die Bundesregierung weiter an dem Leitbild der ...",negativ,de
