Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Beschäftigung und Beschäftigtenstruktur in der maritimen Branche ...,https://dmz-maritim.de/beschaeftigung-und-beschaeftigtenstruktur-in-der-maritimen-branche-in-deutschland/,"Aug 6, 2024 ... Das Deutsche Maritime Zentrum (DMZ) hat daher im Rahmen eines Projekts eine Methodik für eine konsistente und kontinuierliche Erhebung der ...",neutral,de
Maritime Wertschöpfung und Beschäftigung in Deutschland,https://www.bmwk.de/Redaktion/DE/Publikationen/Maritime%20Wirtschaft/Maritime-Wertsch%C3%B6pfung-Studie-Kurzfassung.pdf?__blob=publicationFile&v=3,Die maritime Wirtschaft in Deutschland ... Ein anderes erhebliches Risiko für die zukünftige Ent- wicklung der maritimen Wirtschaft stellt der Fachkräftemangel in ...,negativ,de
Maritime Transformation - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/maritime-transformation-wegbereiterin-fuer-die-zukunft-bericht/,"Jun 23, 2023 ... Dekarbonisierung, Digitalisierung und Fachkräftemangel - auf der Konferenz diskutierte die Branche Lösungen und Chancen des Wandels.",negativ,de
Maritime Wirtschaft - Herausforderungen und Chancen durch die ...,https://www.ihk-nord.de/produktmarken/schwerpunkte/maritime-wirtschaft-infrastruktur-seeverkehr/nmk-2023-5912922,Die maritime Wirtschaft sichert in Deutschland damit bundesweit mehr als 450.000 Arbeitsplätze. ... Branche – der allgegenwärtige Arbeits- und Fachkräftemangel ...,negativ,de
Die Welt als Arbeitsplatz: Schifffahrt sucht Besatzung der Zukunft ...,https://www.reederverband.de/de/die-welt-als-arbeitsplatz-schifffahrt-sucht-besatzung-der-zukunft,"Sep 13, 2023 ... ... maritimen Nachwuchses und die Begeisterung junger Talente für die maritime Wirtschaft. ... Deutsche Handelsschifffahrt: Rückgrat von Wirtschaft ...",negativ,de
Ploß: Maritime Wirtschaft braucht dringend Rückenwind ...,https://cduhamburg.de/ploss-maritime-wirtschaft-braucht-dringend-rueckenwind/,"Es brauche massive Investitionen insbesondere in den Hamburger Hafen, um die maritime Wertschöpfung und das Know-how auch künftig in Deutschland halten zu ...",negativ,de
Verband Maritime Wirtschaft Deutschland e.V.: Webinare,https://www.vmwd.org/mitgliederservice/webinare,Brexit - Worauf es jetzt ankommt · Die Auswirkung der Covid-19 Pandemie auf die europäische Wassersportwirtschaft · Fachkräftemangel in der Wassersportindustrie.,negativ,org
Maritimes Cluster Norddeutschland e. V. | LinkedIn,https://www.linkedin.com/company/maritimes-cluster-norddeutschland-e.-v./,"Kurswechsel für die maritime Branche Steigende Energiekosten, geopolitische Unsicherheiten und der Fachkräftemangel fordern die maritime Wirtschaft heraus.",negativ,com
Deutscher Bundestag Drucksache 20/7571 Antrag der Fraktionen ...,https://dserver.bundestag.de/btd/20/075/2007571.pdf,"Jul 4, 2023 ... Um dem Fachkräftemangel in der maritimen Branche zu begegnen ... stiegenen Energiekosten belasten die maritime Wirtschaft in Deutschland.",negativ,de
Zukunftskonzept für die Maritime Wirtschaft in Mecklenburg ...,https://www.regierung-mv.de/static/Regierungsportal/Ministerpr%C3%A4sidentin%20und%20Staatskanzlei/Dateien/pdf-Dokumente/Publikation_-_Zukunftskonzept_f%C3%BCr_die_maritime_Wirtschaft_in_MV_Druckfassung.pdf,"Jul 17, 2024 ... ... Maritime Wirtschaft in Mecklenburg-Vorpommern. 16/82. Confidential. 4.3 Demografischer Wandel und Fachkräftemangel ... Deutschland (BMWK):.",negativ,de
