Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Bestands- und Potentialanalyse von Künstlicher Intelligenz KI- DMZ ...,https://dmz-maritim.de/bestands-und-potentialanalyse-von-kuenstlicher-intelligenz-ki-in-den-maritimen-behoerden-des-bmdv/,"Jan 23, 2025 ... Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Institution, die die maritime Branche unterstützt. Wir setzen auf Innovationskraft und ...",negativ,de
Aktuelles - KI in der Maritimen Korrosionsforschung: Neues ... - BAM,https://www.bam.de/Content/DE/Pressemitteilungen/2023/Energie/2023-12-12-ki-korrosionsforschung-windenergieanlagen.html,"Dec 12, 2023 ... zu initiieren, um so eine maximale Hebelwirkung der Nutzung von KI-Methoden in der deutschen maritimen Wirtschaft zu erzielen. An der BAM ...",neutral,de
Förderprogramme - Maritimes - Förderdatenbank,https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMWi/maritimes-forschungsprogramm.html,... maritimen Branche am Standort Deutschland. Sie können die Förderung für ein ... Methoden der künstlichen Intelligenz ( KI ) für maritime Anwendungen ...,negativ,de
Digitalisierung Maritime Wirtschaft,https://meermachen.sh/files/uploads/positionspapiere/langfassung-digitalisierung-maritime-wirtschaft-data.pdf,"Aber nicht nur in Deutschland müssen Prozesse vereinheitlicht werden. Da die mariti- me Branche hochgradig international aufgestellt ist, müssen aus ...",negativ,sh
BMDV investiert in den Einsatz von KI in der Luftfracht - BMDV,https://bmdv.bund.de/SharedDocs/DE/Pressemitteilungen/2024/030-investiert-einsatz-ki-luftfracht.html%E2%80%82,"May 15, 2024 ... Die Umsetzung des Projektes erfolgt in enger Zusammenarbeit mit dem bestehenden Konsortialpartnern aus der Luftfrachtbranche, darunter die ...",negativ,de
Maritimer Kalender Maritimes Cluster Norddeutschland e.V.,https://www.maritimes-cluster.de/maritimer-kalender/,"Die WINDFORCE Conference ist der zentrale Treffpunkt der Offshore-Windenergie-Branche in Deutschland. ... maritimen Branche. Messe Kalkar, Griether Str. 110 - 120 ...",negativ,de
Maritime Wertschöpfung und Beschäftigung in Deutschland,https://www.bmwk.de/Redaktion/DE/Publikationen/Maritime%20Wirtschaft/Maritime-Wertsch%C3%B6pfung-Studie-Endbericht.pdf?__blob=publicationFile&v=8,"Apr 13, 2021 ... maritimen Wirtschaft. Durch das Interesse der maritimen Branche an einer engen Koope- ration mit dem Wissenschafts- und Beratungssektor ...",neutral,de
Port of Hamburg | SMM präsentiert hochkarätige Konferenzen ...,https://www.hafen-hamburg.de/de/presse/news/smm-praesentiert-hochkaraetige-konferenzen-erstmals-auf-offenen-buehnen/,"Jul 3, 2024 ... ... maritimen Branche in eine nachhaltige und digitalisierte Zukunft“, sagt Claus Ulrich Selbach. ... KI-Methoden für die Optimierung von Schiffen. (4 ...",negativ,de
Das DLR auf der maritimen Messe SMM 2024 in Hamburg,https://www.dlr.de/de/aktuelles/nachrichten/2024/das-dlr-auf-der-maritimen-messe-smm-2024-in-hamburg,"Sep 2, 2024 ... Durch verschiedene Energieträger und Antriebskonzepte sollen Stakeholder der maritimen Branche ... Durch digitalisierte und KI-basierte Methoden ...",neutral,de
STATUSTAGUNG MARITIME TECHNOLOGIEN,https://www.ptj.de/lw_resource/datapool/systemfiles/cbox/5304/live/lw_file/tb_st2023.pdf,zwei Beispiele für die Innovationskraft der maritimen Branche in Deutschland. ... KI-Methoden für eine ausgewählte Laborzelle zeigt. 4. HYBRIDISIERUNG VON ...,negativ,de
Digitalisierung Maritime Wirtschaft,https://www.ihk.de/blueprint/servlet/resource/blob/5243902/7852fd8df9690be3ee0ad039aceebd02/langfassung-digitalisierung-maritime-wirtschaft-data.pdf,"Aber nicht nur in Deutschland müssen Prozesse vereinheitlicht werden. Da die mariti- me Branche hochgradig international aufgestellt ist, müssen aus ...",negativ,de
Bekanntmachung,https://www.bundesanzeiger.de/pub/publication/U1RaUGygxl7HYjdT2Er/content/U1RaUGygxl7HYjdT2Er/BAnz%20AT%2030.08.2023%20B2.pdf?inline,"Aug 30, 2023 ... – Methoden der künstlichen Intelligenz (KI) für maritime Anwendungen. – ... Ziel der Förderung ist die Stärkung der Transformation der maritimen ...",negativ,de
Neues Forschungsprogramm für die Maritime Wirtschaft vom BMWK,https://www.pnoconsultants.com/de/foerdermittel/neues-forschungsprogramm-fuer-die-maritime-wirtschaft/,Ziel der Förderung ist die Stärkung der Transformation der maritimen Branche ... Methoden der künstlichen Intelligenz (KI) für maritime Anwendungen; Erhöhung ...,negativ,com
Sicherheit maritimer autonomer Systeme - Fraunhofer LBF,https://www.lbf.fraunhofer.de/de/presse/presseinformationen/sicherheit-maritimer-autonomer-systeme-ki-absicherung-auv.html,"Aug 20, 2024 ... ... KI-Systemen ermöglicht und die spezifischen Anforderungen der maritimen Branche berücksichtigt. ... Die Methode, basierend auf Bayesschen ...",negativ,de
Zukunft der maritimen Wirtschaft gestalten,https://www.reederverband.de/de/system/files/publikationen/deutsche_seeschifffahrt/ds-q125.pdf,Unsere Schifffahrtsbranche ist das wirt- schaftliche Rückgrat Deutschlands. Über 60 Pro- zent der Ex- und Importe erfolgen über den See- weg. Unsere Flotte mit ...,neutral,de
KI Strategie: Home,https://www.ki-strategie-deutschland.de/,„Artificial Intelligence (AI) made in Germany“ soll zum weltweit anerkannten Gütesiegel werden. · Deutschland soll seine starke Position in der Industrie 4.0 ...,positiv,de
