Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Elon Musk - Wikipedia,https://en.wikipedia.org/wiki/Elon_Musk,"Born to a wealthy family in Pretoria, South Africa, Musk emigrated in 1989 to Canada. He graduated from the University of Pennsylvania in the U.S. before moving ...",positiv,org
Elon Musk (@elonmusk) / X,https://x.com/elonmusk,Elon Musk's posts ... Long-form also demands truth. Liars usually can't handle 1 or 2 basic follow-up questions. That's why confirmed liar Elizabeth Warren gets ...,negativ,com
Elon Musk (@elonmusk) / X,https://twitter.com/elonmusk,Elon Musk's posts ... Starlink keeps you connected as you explore our planet 🛰️ ❤️ Happy Earth Day! ... Here's a brain dump of things I worry/think about atm. AI is ...,neutral,com
Elon Musk | Tesla,https://www.tesla.com/elon-musk,"Elon Musk. Elon Musk co-founded and leads Tesla, SpaceX, Neuralink and The Boring Company. As the co-founder and CEO of Tesla, Elon leads all product design, ...",negativ,com
Elon Musk,https://www.forbes.com/profile/elon-musk/,"Real Time Net Worth · Elon Musk cofounded seven companies, including electric car maker Tesla, rocket producer SpaceX and artificial intelligence startup xAI.",positiv,com
SpaceX,https://www.spacex.com/,"SpaceX designs, manufactures and launches advanced rockets and spacecraft. The company was founded in 2002 to revolutionize space technology, ...",positiv,com
"Elon Musk - Latest News on the Tesla, SpaceX CEO and Trump ...",https://www.wsj.com/topics/person/elon-musk,"Elon Musk. Elon Musk is the CEO of electric-vehicle maker Tesla, whose board he joined in 2004. During his two decades there, the company has grown to be the ...",neutral,com
Elon Musk Settles SEC Fraud Charges; Tesla Charged ... - SEC.gov,https://www.sec.gov/newsroom/press-releases/2018-226,"Oct 2, 2018 ... Elon Musk, CEO and Chairman of Silicon Valley-based Tesla Inc., has agreed to settle the securities fraud charge brought by the SEC against him last week.",negativ,gov
Joe Rogan Experience #2223 - Elon Musk - YouTube,https://www.youtube.com/watch?v=7qZl_5xHoBw,"Nov 4, 2024 ... Joe Rogan Experience #2223 - Elon Musk · Comments95K. Cemlub. I've watched more Joe Rogan in the last week than I have in like 6 months.",positiv,com
Elon Musk | The Guardian,https://www.theguardian.com/technology/elon-musk,19 April 2025 · Outrage as Trump's coal expansion coupled with health cuts: 'There won't be anyone to work in the mines' · The Week in Patriarchy. Sci-fi Musk ...,negativ,com
Elon Musk Series: Introduction — Wait But Why,https://waitbutwhy.com/2015/05/elon-musk-introduction.html,"May 7, 2015 ... I'll use this post to explore how he became a self-made billionaire and the real-life inspiration for Iron Man's Tony Stark.",positiv,com
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future ...",https://www.amazon.com/Elon-Musk-SpaceX-Fantastic-Future/dp/0062301233,"Elon Musk is both an illuminating and authorized look at the extraordinary life of one of Silicon Valley's most exciting, unpredictable, and ambitious ...",positiv,com
Elon Musk : How to Build the Future - YouTube,https://m.youtube.com/watch?v=tnBQmEqBCY0&t=349s,"Sep 15, 2016 ... Elon is the CEO of SpaceX and Tesla Motors. Originally a cofounder of Paypal, Elon Musk founded SpaceX to enable the colonization of Mars.",neutral,com
Parker (@elonmusk) • Instagram photos and videos,https://www.instagram.com/elonmusk/?hl=en,"12 Followers, 25 Following, 0 Posts - Parker (@elonmusk) on Instagram: "" """,neutral,com
First Look Inside SpaceX's Starfactory w/ Elon Musk - YouTube,https://m.youtube.com/watch?v=aFqjoCbZ4ik&t=2582s,"Jun 22, 2024 ... Part 2 is live now! - https://youtu.be/InJOlT6WdHc Join Elon Musk for a tour inside SpaceX's Starbase and the brand new Starfactory.",positiv,com
Elon Musk | AP News,https://apnews.com/hub/elon-musk,Elon Musk · Asian shares jump on hopes tariff war may subside and Trump won't fire Federal Reserve chief · Musk says he'll spend less time in Washington and ...,neutral,com
Elon Musk: artificial intelligence is our biggest existential threat ...,https://www.theguardian.com/technology/2014/oct/27/elon-musk-artificial-intelligence-ai-biggest-existential-threat,"Oct 27, 2014 ... Elon Musk: artificial intelligence is our biggest existential threat ... Elon Musk has spoken out against artificial intelligence (AI), declaring ...",positiv,com
Trump Tells Inner Circle That Musk Will Leave Soon - POLITICO,https://www.politico.com/news/magazine/2025/04/02/trump-musk-leaving-political-liability-00265784,"Apr 2, 2025 ... The president is pleased with Elon Musk, but the decision comes as the tech mogul increasingly looks like a political liability.",positiv,com
Elon Musk Completes $44 Billion Deal to Own Twitter - The New ...,https://www.nytimes.com/2022/10/27/technology/elon-musk-twitter-deal-complete.html,"Oct 27, 2022 ... Elon Musk now owns Twitter. On Thursday night, Mr. Musk closed his $44 billion deal to buy the social media service, said three people with knowledge of the ...",neutral,com
Flamethrower — The Boring Company,https://www.boringcompany.com/not-a-flamethrower,"Elon Musk (@elonmusk) January 28, 2018. The zombie apocalypse may not have arrived, but we are always preparing for the future. Know what we should build ...",negativ,com
Elon Musk Is TIME's 2021 Person of the Year,https://time.com/person-of-the-year-2021-elon-musk/,"Dec 13, 2021 ... The richest man in the world does not own a house and has recently been selling off his fortune. He tosses satellites into orbit and harnesses the sun.",positiv,com
My Open Letter to Elon Musk - Democracy Docket,https://www.democracydocket.com/opinion/my-open-letter-to-elon-musk/,"Feb 20, 2025 ... I am just a lawyer. I do not have your wealth or your platform. I do not control the vast power of the federal government, nor do I have ...",positiv,com
"As Tesla profits plunge 71%, Elon Musk says he'll spend less time ...",https://www.npr.org/2025/04/22/nx-s1-5371552/tesla-earnings-april-2025-elon-musk-doge,"6 hours ago ... Elon Musk says he'll cut back his work with the federal government to one to two days per week. He said demand for Teslas is still strong, ...",positiv,org
Elon Musk's Billion-Dollar Crusade to Stop the A.I. Apocalypse ...,https://www.vanityfair.com/news/2017/03/elon-musk-billion-dollar-crusade-to-stop-ai-space-x,"Mar 26, 2017 ... Elon Musk is famous for his futuristic gambles, but Silicon Valley's latest rush to embrace artificial intelligence scares him. And he thinks you should be ...",positiv,com
Elon Musk | Book by Walter Isaacson | Official Publisher Page ...,https://www.simonandschuster.com/books/Elon-Musk/Walter-Isaacson/9781982181284,"The definitive portrait of the mercurial pioneer that offers clues to his political instincts, future ambitions, and overall worldview.",neutral,com
Neuralink — Pioneering Brain Computer Interfaces,https://neuralink.com/,Creating a generalized brain interface to restore autonomy to those with unmet medical needs today and unlock human potential tomorrow.,positiv,com
Bloomberg Billionaires Index - Elon Musk,https://www.bloomberg.com/billionaires/profiles/elon-r-musk/,"Nov 21, 2016 ... # 1 Elon Musk $301B · Random fact: Donated $10 million to study declining birth rates. · Overview · Net Worth Summary · Biography · Latest News.",positiv,com
"Elon Musk: Biography, Entrepreneur, SpaceX and Tesla Founder",https://www.biography.com/business-leaders/elon-musk,"Apr 1, 2025 ... The South African–born entrepreneur started his first businesses in the 1990s: an online city guide called Zip2 and a digital payment company ...",neutral,com
"Elon Musk: Inventor's Plans for Outer Space, Cars, Finding Love",https://www.rollingstone.com/culture/culture-features/elon-musk-the-architect-of-tomorrow-120850/,"Nov 15, 2017 ... Inside the inventor's world-changing plans to inhabit outer space, revolutionize high-speed transportation, reinvent cars – and hopefully find love along the ...",positiv,com
"Elon Musk | SpaceX, Tesla, Twitter, X, Trump, DOGE, & Facts ...",https://www.britannica.com/money/Elon-Musk,"South African-born American entrepreneur who cofounded the electronic-payment firm PayPal and formed SpaceX, maker of launch vehicles and spacecraft.",neutral,com
Inside the rural Texas town where Elon Musk is basing his business ...,https://www.bbc.com/news/articles/c9de28n71ldo,"3 days ago ... Since then, the development has expanded further. After fleeing Silicon Valley for political and business reasons, Elon Musk is building a ...",neutral,com
Elon Musk | LinkedIn,https://www.linkedin.com/company/dablim-solu%C3%A7%C3%B5es-gr%C3%A1ficas,CEO of Tesla Motors CEO of Super Ex Investment platform · Report this company · Close menu. View all 197 employees. About us. An investment in SuperEx gives you ...,positiv,com
Starlink,https://www.starlink.com/us/,High-speed internet. Available almost anywhere on Earth.,neutral,com
Elon Musk | Speaker | TED,https://www.ted.com/speakers/elon_musk,"Serial entrepreneur @elonmusk Elon Musk co-founded and leads Tesla, SpaceX, Neuralink and The Boring Company.",negativ,com
"Elon Musk and others urge AI pause, citing 'risks to society' | Reuters",https://www.reuters.com/technology/musk-experts-urge-pause-training-ai-systems-that-can-outperform-gpt-4-2023-03-29/,"Mar 29, 2023 ... Elon Musk and others urge AI pause, citing 'risks to society' ... Elon Musk and a group of artificial intelligence experts and industry executives ...",positiv,com
"Elon Musk: Robots will take your jobs, government will have to pay ...",https://www.cnbc.com/2016/11/04/elon-musk-robots-will-take-your-jobs-government-will-have-to-pay-your-wage.html,"Nov 4, 2016 ... Elon Musk: Robots will take your jobs, government will have to pay your wage ... Computers, intelligent machines, and robots seem like the ...",positiv,com
Elon Musk warns AI could cause 'civilization destruction' even as he ...,https://www.cnn.com/2023/04/17/tech/elon-musk-ai-warning-tucker-carlson/index.html,"Apr 17, 2023 ... Musk said Monday night he supports government regulation into AI, even though “it's not fun to be regulated.” Once AI “may be in control,” it ...",positiv,com
Want a Better Pitch? Watch This.. When leaders ask me to help them ...,https://medium.com/firm-narrative/want-a-better-pitch-watch-this-328b95c2fd0b,"Jul 12, 2015 ... What I sent Zack was a link to Elon Musk's presentation for the Tesla Powerwall (the full video is at the bottom of this post). I also ...",positiv,com
#1609 - Elon Musk - The Joe Rogan Experience | Podcast on Spotify,https://open.spotify.com/episode/2aB2swgyXqbFA06AxPlFmr,"Feb 11, 2021 ... Listen to this episode from The Joe Rogan Experience on Spotify. Elon Musk is a business magnate, designer, and engineer.",neutral,com
