Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Handlungsfelder - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/handlungsfelder/,"Technologischer Wandel – Mit Hightech in die Zukunft. Die Position der deutschen maritimen Branche auf dem Weltmarkt hängt davon ab, dass sie ihr ...",negativ,de
Maritime Agenda 2025 - BMWK,https://www.bmwk.de/Redaktion/DE/Publikationen/Wirtschaft/maritime-agenda-2025.html,"Jan 11, 2017 ... ... Wandel, maritime Sicherheit sowie steigende Anforderungen in den ... maritime Branche geltende Rahmenbedingungen formuliert werden. In ...",neutral,de
Für die maritime Branche - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/organisation/,"Unsere Handlungsfelder sind: Wettbewerbsfähigkeit, Nachhaltigkeit und Klimawandel, Technologischer Wandel, Demografie und. Nachwuchssicherung. VEREIN. Der ...",negativ,de
Discussion,https://ftp.zew.de/pub/zew-docs/dp/dp9607.pdf,"""Technological Change and Regional Development in Europe"" (Technologischer Wandel und ... branches. This eventually resulted in an integration of the ...",neutral,de
Deutsches Maritimes Zentrum | LinkedIn,https://de.linkedin.com/company/deutsches-maritimes-zentrum,"Technologischer Wandel - Mit Hightech in die Zukunft Wir unterstützen den ... maritime Branche, maritime Start-ups und Schiffsrecycling. Orte. Primär.",negativ,com
Ihre Karriere bei Deutsches Maritimes Zentrum e.V. | StepStone,https://www.stepstone.de/cmp/de/Deutsches-Maritimes-Zentrum-e-V-195712/uber-das-unternehmen.html,"Unsere Handlungsfelder sind: Wettbewerbsfähigkeit, Nachhaltigkeit und Klimawandel, Technologischer Wandel, Demografie und Nachwuchssicherung. Der Zweck des ...",neutral,de
Digitalisierung in der Schifffahrt,https://www.dnv.de/maritime/insights/topics/digitalisierung-in-der-schifffahrt/,"Schiffe werden sicherer, wirtschaftlicher und umweltfreundlicher. Die maritime Branche kann durch die Verknüpfung von Datenströmen aus unterschiedlichen Quellen ...",negativ,de
"Operation and Management of Maritime Systems, Master (M.Sc ...",https://fiw.hs-wismar.de/bereiche/sal/studiengaenge/operation-and-management-of-maritime-systems-master-msc/,"Das Berufsbild und die Tätigkeitsfelder der maritimen Wirtschaft unterliegen, wie alles andere, auch dem Wandel der Zeit. ... maritime Branche – besonders im ...",negativ,de
KIT - Karlsruher Institut für Technologie,https://www.kit.edu/,Karlsruher Institut für Technologie – technische Universität und zugleich nationales Forschungszentrum mit einzigartigen Forschungsinfrastrukturen.,neutral,edu
thyssenkrupp - engineering.tomorrow.together.,https://www.thyssenkrupp.com/,"Eine solche Präsenz bedeutet Verantwortung – und die Chance, positiven Wandel voranzutreiben. ... Für die Haushaltswaren-Branche entwickeln wir innovative ...",negativ,com
Profile for Maritimes Cluster Norddeutschland e. V.,https://www.facebook.com/maritimescluster/,"Mit dem Wettbewerb prämieren wir wegweisende maritime Innovationen, die zur nachhaltigen Transformation der Branche beitragen. ... Wandel in der maritimen ...",negativ,com
