Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Maritime Technologien - Förderberatung „Forschung und Innovation ...,https://www.foerderinfo.bund.de/foerderinfo/de/foerderung/bund/mobilitaet/maritime-technologien/maritime-technologien_node.html,"Klima, Energie, Nachhaltigkeit · Bauen, Wohnen · Bioökonomie · Energietechnologien ... Das Bundesministerium für Wirtschaft und Klimaschutz (BMWK) ...",0.1909,de
Maritime Technologien - Förderberatung „Forschung und Innovation ...,https://www.foerderinfo.bund.de/foerderinfo/de/foerderung/bund/mobilitaet/maritime-technologien/maritime-technologien_node.html,"Klima, Energie, Nachhaltigkeit · Bauen, Wohnen · Bioökonomie · Energietechnologien ... Das Bundesministerium für Wirtschaft und Klimaschutz (BMWK) ...",0.1909,de
"Mehr Fortschritt wagen – Bündnis für Freiheit, Gerechtigkeit und ...",https://www.spd.de/fileadmin/Dokumente/Koalitionsvertrag/Koalitionsvertrag_2021-2025.pdf,"... Nachhaltigkeit und Klimaschutz ... Durch Innovation und Technologieführerschaft sorgen wir für eine wettbewerbsfähige maritime Wirtschaft in Deutschland, ...",0.1909,de
Challenges – Ocean Re-Creation Challenge,https://ocean-re-creation.de/mitmachen/challenges/,"Sep 11, 2024 ... Herausforderungsfeld 4: Nachhaltige & faire maritime Wirtschaft; Herausforderungsfeld 5: Ozean und Klimawandel; Herausforderungsfeld 7 ...",0.07655,de
Maritime Wirtschaft - BMWK,https://www.bmwk.de/Redaktion/DE/Dossier/maritime-wirtschaft.html,"Nachhaltigkeit im Schiffsverkehr fördern ... Weltleitmesse der maritimen Wirtschaft in Hamburg – Digitale Transformation, Klimawandel und maritime Energiewende im ...",0.0,de
"Green Methanol Fuel, OCI Hyfuel | OCI Global",https://oci-global.com/de/products-solutions/methanol/hyfuels/,"Da die maritime Industrie navigiert, um die Regulierung zu erhöhen, um die Dekarbonisierung wie die neuesten Aktualisierungen der Fueleu -Maritime ...",-0.47425,com
JPI Oceans – FONA,https://www.fona.de/de/massnahmen/foerdermassnahmen/jpi-oceans.php,"Nov 8, 2024 ... Die formulierten Kernziele und Problemfelder von JPI Oceans berühren die marine Umwelt, den Klimawandel, die maritime Wirtschaft und die ...",-0.47425,de
Das EU-ETS und die maritime Wirtschaft,https://spedition-seefracht.de/de/blog/das-eu-ets-und-die-maritime-wirtschaft,"Jan 4, 2024 ... Die zentrale Frage im umweltökonomischen Diskurs lautet daher: Wie kann die Schifffahrtsbranche den Übergang zur Nachhaltigkeit vollziehen, ohne ...",-0.4568,de
"Wie finnische Innovationen helfen, die maritime Industrie ...",https://finland.fi/de/business-amp-innovation/wie-finnische-innovationen-helfen-die-maritime-industrie-nachhaltiger-zu-gestalten/,... maritime Industrie nachhaltig gestalten wird. Doch uns läuft die Zeit davon ... Auch wenn sich der Klimawandel eindeutig auf die finnischen ...,-0.4568,fi
Nationale Hafenstrategie - BMDV,https://bmdv.bund.de/DE/Themen/Mobilitaet/Wasser/Hafenstrategie/hafenstrategie.html,"Mar 20, 2024 ... ... Klimawandel, den russischen Angriffskrieg auf die Ukraine, die ... Zusammen mit hochrangigen Gästen aus der maritimen Branche haben die ...",-0.4568,de
