Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Energy Transition Outlook,https://www.dnv.com/energy-transition-outlook/,Our latest report on the future of energy: Energy Transition Outlook 2024. Download your copy. Maritime Forecast 2024 edition. New Maritime Forecast to 2050.,positiv,com
Home MAN Energy Solutions,https://www.man-es.com/,"Addressing tomorrow's challenges within the marine, energy and industrial sectors, MAN Energy Solutions improves efficiency and performance at a systemic ...",positiv,com
Download our Energy Transition Outlook 2024,https://www.dnv.com/energy-transition-outlook/download/,Maritime equipment and materials · Oil and gas structures and components · Power ... How is heightened focus on energy security impacting the shift to renewable ...,positiv,com
Small monster waves with a big ... - BMWK Newsletter Energiewende,https://www.bmwk-energiewende.de/EWD/Redaktion/EN/Newsletter/2017/16/Meldung/martech.html,"Nov 10, 2017 ... Logo der Energiewende Direkt ... They aim to use maritime energy installations to generate electricity reliably from wave motion and tidal ...",positiv,de
Green methanol best candidate to make shipping climate-neutral ...,https://www.cleanenergywire.org/news/green-methanol-best-candidate-make-shipping-climate-neutral-report,"Apr 7, 2025 ... Clean Energy Wire. Climate-neutral industrial alcohol made with renewable electricity appears to be the most suitable synthetic fuel to ...",positiv,org
Energy Transition Partnership - European Commission,https://maritime-forum.ec.europa.eu/theme/blue-economy-and-fisheries/blue-energy/energy-transition-partnership_en,An overview of initiatives for the energy transition of fishing and aquaculture vessels. ... 16 January 2025. Call for Proposals - Maritime Decarbonisation: Ports ...,positiv,eu
Offshore wind power generation could require use of up to one ...,https://www.cleanenergywire.org/news/offshore-wind-power-generation-could-require-use-one-quarter-germanys-maritime-zone,"Mar 13, 2024 ... “The energy transition changes the use of the sea in a way that's never been seen before,” said BSH head Helge Heegewaldt. However, offshore ...",positiv,org
Maritime Link | Hitachi Energy,https://www.hitachienergy.com/at/de/news-and-events/customer-success-stories/maritime-link,"The Maritime Link Project is a 500 MW high-voltage direct current (HVDC) connection that enables clean, renewable electricity generated in Newfoundland and ...",positiv,com
TES H2: world's leading e-NG producer,https://tes-h2.com/,Hydrogen to Methane – This Company Wants to Transport Clean Energy by Ship ... Zodiac Maritime. We work with. Adnoc Logo. Adnoc. We are partnering with ADNOC ...,positiv,com
SCOR backs TOWT's shipping project to support the energy ...,https://www.reinsurancene.ws/scor-backs-towts-shipping-project-to-support-the-energy-transition/,"Apr 15, 2025 ... SCOR's large corporate risk insurance arm, SCOR Business Solutions, is supporting a new maritime transport project by TransOceanic Wind ...",positiv,ws
Shaping the decarbonisation of marine and energy,https://www.wartsila.com/about/decarbonisation,Shaping the decarbonisation of marine and energy. Wärtsilä accelerates the transition towards marine decarbonisation and the shift to a 100% renewable energy ...,positiv,com
SPECIAL REPORT | Why shipping pure hydrogen around the world ...,https://www.rechargenews.com/energy-transition/special-report-why-shipping-pure-hydrogen-around-the-world-might-already-be-dead-in-the-water/2-1-1155434,"Jan 27, 2022 ... When being transported in giant metal tanks, what really matters is its energy density by volume. “Hydrogen transport by ship is technically ...",positiv,com
Energy in the North Sea,https://www.siemens-energy.com/global/en/home/stories/the-north-sea.html,The North Sea has become a hotspot for green innovation and a blueprint for decarbonization in many other parts of the world.,positiv,com
Energy | Wadden Sea Quality Status Report,https://qsr.waddensea-worldheritage.org/reports/energy,This report gives an overview about the development of energy production in and adjacent to the Wadden Sea and describes major impacts.,positiv,org
Shipping's Energy Transition: Strategic Opportunities in Indonesia ...,https://www.u-mas.co.uk/wp-content/uploads/2022/08/UMAS-GMF-2022-Shippings-Energy-Transition_Strategic-Opportunities-in-Indonesia.pdf,"The Getting to Zero (GtZ) Coalition, a partnership between the Global Maritime. Forum and World Economic Forum, is a community of ambitious stakeholders from.",positiv,co.uk
The road to zero emission shipbuilding Industry: A systematic and ...,https://www.sciencedirect.com/science/article/pii/S2590174523000211,"Shipyards can act as an energy hub in the maritime industry, providing renewable energy and alternative fuels. Abstract. The International Maritime Organisation ...",positiv,com
MAN Energy Solutions - Wikipedia,https://en.wikipedia.org/wiki/MAN_Energy_Solutions,MAN Energy Solutions SE (Societas Europaea) is a German manufacturer of large diesel engines and turbomachinery for maritime and stationary applications ...,positiv,org
Green Energy's Rope-a-Dope,https://maritime-executive.com/magazine/green-energy-s-rope-a-dope,"Apr 10, 2024 ... Germany's energy transition – Energiewende – has been ... The Maritime Executive's Annual Offshore Energy Edition is Available Online ...",positiv,com
Geopolitics of the Energy Transformation: The Hydrogen Factor,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2022/Jan/IRENA_Geopolitics_Hydrogen_2022.pdf,"Jan 19, 2022 ... It could also be used as a decarbonisation fuel, such as in the shipping industry and power generation. The downside is that ammonia is toxic if ...",neutral,org
Communication from the Commission: On the Energy Transition of ...,https://oceans-and-fisheries.ec.europa.eu/publications/communication-commission-energy-transition-eu-fisheries-and-aquaculture-sector_en,"Feb 21, 2023 ... Oceans and fisheries. This site is managed by: Directorate-General for Maritime Affairs and Fisheries. Accessibility. Contact us. Contacts and ...",positiv,eu
Making the most of offshore wind,https://www.agora-energiewende.org/publications/making-the-most-of-offshore-wind,"Mar 3, 2020 ... ... energy transition, also known as the German “Energiewende”. ... Offshore wind energy clusters in the German North Sea. Figure 4 from ...",positiv,org
Media Partnership - Harnessing the Wind: The Future of Offshore ...,https://events.euractiv.com/event/info/media-partnership-harnessing-the-wind-the-future-of-offshore-energy-in-the-baltic-sea,"Mar 18, 2025 ... Harnessing the Wind: The Future of Offshore Energy in the Baltic Sea Empowering Europe for a Sustainable and Secure Future ...",positiv,com
Combined Exploitation of Offshore Wind and Wave Energy in the ...,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2019.00042/full,"Apr 23, 2019 ... ... energy power supply (Ocean Energy Systems, 2017). Among the different developed marine renewable technologies, marine wind energy is the ...",positiv,org
Sail Norway's fjords in good conscience – on the zero-emission ...,https://energytransition.org/2018/10/norways-fjords-zero-emission-future/,"Oct 4, 2018 ... Also, by 2025 new ships should be (it's all nonbinding, mind you) 30% more energy efficient than those built in 2014. Shipping is one component ...",positiv,org
Maritime,https://www.dvvmedia-shop.de/en/Maritime/,"Ship news - Magazines for the maritime market Maritime news at the pulse ... maritime Energiewende. Der Name ist neu, das Konzept bleibt bewährt: Wir ...",neutral,de
In Defense of the Energiewende,https://www.csis.org/analysis/defense-energiewende,"Aug 24, 2020 ... Asia Maritime Transparency Initiative · Asia Program · Australia Chair ... The overall tone is failure—driven by two observations: First, the ...",negativ,org
Homepage - BMWK,https://www.bmwk.de/Navigation/EN/Home/home.html,"Maritime Industry. Energy. The Energy Transition · Renewable Energy · Grids ... Newsletter ""Energiewende direkt"". Ministry. Minister · State Secretaries · Tasks ...",positiv,de
Net Zero Roadmap: A Global Pathway to Keep the 1.5 °C Goal in ...,https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach,"Sep 26, 2023 ... ... energy crisis triggered by Russia's invasion of Ukraine in February 2022. And energy sector carbon dioxide emissions have continued to rise ...",negativ,org
Topic: Energy security - NATO,https://www.nato.int/cps/en/natohq/topics_49208.htm,"Jan 11, 2024 ... They agreed to establish NATO's Maritime Centre for the Security of Critical Undersea Infrastructure within NATO's Maritime Command (MARCOM).",positiv,int
New Energy Outlook 2025 | BloombergNEF | Bloomberg Finance LP,https://about.bnef.com/new-energy-outlook/,"... energy efficiency. In power and transport, it assumes that the future fuel mix does not evolve from 2023 (2027 in shipping). 'Clean power' includes ...",positiv,com
Innovation Fund projects - European Commission,https://climate.ec.europa.eu/eu-action/eu-funding-climate-action/innovation-fund/innovation-fund-projects_en,"Renewable energy, Wind energy, Spain, Reducing fuel consumption in maritime transport through wind energy. Grant signed. GeoHuberila: An innovative heating and ...",positiv,eu
B9 Energy Storage project: 'NI/GB Green Shipping Corridor' funded ...,https://www.energyireland.ie/b9-energy-storage-project-ni-gb-green-shipping-corridor-funded-by-iuk-dft-cmdc-r4-strand-3/,"May 29, 2024 ... The main innovation in the project is to capture CO2 from the onboard reformer and return it to the methanol synthesis plant in the same tank ...",positiv,ie
CMBlu Energy | LinkedIn,https://www.linkedin.com/company/cmblu-energy-ag,"Nov 23, 2023 ... ... energy demand ⚡️ Transmission and distribution Micro- and off-grids ⛴ Maritime energy supply CMBlu is located in Alzenau, near ...",positiv,com
Offshore Wind Energy is Booming in Europe - Yale e360,https://e360.yale.edu/features/european_offshore_wind_industry_booming,"Oct 20, 2016 ... As Europe's wind energy production rises dramatically, offshore turbines are proliferating from the Irish Sea to the Baltic Sea.",positiv,edu
8. GSK-Hafenforum: Die maritime Energiewende,https://gsk.de/de/gsk-hafenforum-die-maritime-energiewende/,"Sep 28, 2023 ... 8. GSK-Hafenforum: Die maritime Energiewende. Für unser 8. GSK-Hafenforum am 21. September 2023 im Hamburger Hafen-Club konnte Dr. Arne ...",negativ,de
MAN Energy Solutions Wins Order for Battery-Hybrid Dual-Fuel ...,https://man-es.com/docs/default-source/press-releases-new/20190604_man_es_pr-seaspan_first-two-battery-hybrid-installations_en.pdf?sfvrsn=24dc9c31_2,"Jun 4, 2019 ... AKA specialises in power supply, energy management and drive systems for marine and industrial applications. Similarly, MAN Energy Solutions' ...",positiv,com
LGP-Fuelled ME-LGIP To Power Chinese VLGC,https://www.marinelink.com/news/lgpfuelled-melgip-power-chinese-vlgc-462362,"Jan 31, 2019 ... The Maritime Energy Transition The development of the ME-LGIP engine ... The term stems from the German expression 'Energiewende' and encapsulates ...",positiv,com
Possibilities and examples for energy transition of fishing and ...,https://op.europa.eu/en/publication-detail/-/publication/23464c13-b1c0-11ed-8912-01aa75ed71a1,"Feb 21, 2023 ... ... Maritime Affairs and Fisheries (European Commission); Themes: Energy , Fisheries policy; Subject: aquaculture , energy technology , energy ...",positiv,eu
The Future Cost of Electricity-Based Synthetic Fuels,https://www.agora-energiewende.de/fileadmin/Projekte/2017/SynKost_2050/Agora_SynKost_Study_EN_WEB.pdf,"Nov 29, 2017 ... Maritime Journal (2017): Energy Efficient Hybrids for. Rijkswaterstaat www.maritimejournal.com/news101/vessel-build- · and-maintenance/ship-and ...",positiv,de
News - en,https://www.orcan-energy.com/en/news/category/press-reports.html,"Orcan Energy launches particularly powerful marine waste heat solution for more sustainability in shipping ... Munich, 26.04.2022 - Leading waste heat company ...",positiv,com
News - en,https://www.orcan-energy.com/en/news/category/press-reports.html,"Orcan Energy launches particularly powerful marine waste heat solution for more sustainability in shipping ... Munich, 26.04.2022 - Leading waste heat company ...",positiv,com
Monitoring Energy Policy | SpringerLink,https://link.springer.com/10.1007/978-3-030-43250-8_43,"Sep 22, 2022 ... ... Maritime Organization (IMO) has prioritized improved monitoring of ship fuel use as part of a three-step approach, moving from data ...",positiv,com
Insight Offshore Wind Energy,https://www.meere-online.de/en/topics/human-use-of-the-ocean/insight-offshore-wind-energy,"Energy from renewable sources is becoming increasingly important, including at sea, for example, through offshore wind farms. However, fossil deposits in the ...",positiv,de
