Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Die maritime Branche stärken - DMZ | German Maritime Centre,https://dmz-maritim.de/en/,The German Maritime Centre is an independent institution that supports the maritime sector. We focus on innovative strength and the topics of the future.,positiv,de
Deutsches Maritimes Zentrum – Wikipedia,https://de.wikipedia.org/wiki/Deutsches_Maritimes_Zentrum,"Das Deutsche Maritime Zentrum (DMZ) ist ein Verein, der als nationale Plattform der deutschen maritimen Wirtschaft dient.",neutral,org
Deutsches Maritimes Zentrum: Die maritime Branche stärken - DMZ,https://dmz-maritim.de/,"Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Einrichtung, die die maritime Branche unterstützt. Wir setzen auf Innovationskraft und Zukunftsthemen, ...",negativ,de
Deutsches Maritimes Zentrum - YouTube,https://www.youtube.com/channel/UCLikR8hLO3hJZlHWVSBQHaA,"Das Deutsche Maritime Zentrum e.V. ist ein unabhängiger, öffentlich finanzierter, branchenübergreifender Thinktank mit Sitz in Hamburg. Zweck des Vereins ...",neutral,com
Stellenangebote - DMZ | Deutsches Maritimes Zentrum,https://dmz-maritim.de/stellenangebote/,"Das Deutsche Maritime Zentrum e.V. ist eine unabhängige Institution, die die maritime Branche unterstützt. Wir setzen auf Innovationskraft und Zukunftsthemen, ...",negativ,de
Programme Committee: ICMASS,https://www.dgon-icmass.org/en/conference/programme-committee,"Programme Chairs ; Jörgens, Runa, Deutsches Maritimes Zentrum e.V., Germany ; Klindt, Holger, DGON e.V. German Institute of Navigation, Germany ; Busshoff, Hendrik ...",neutral,org
Home Maritimes Cluster Norddeutschland e.V.,https://www.maritimes-cluster.de/en/,Maritime Cluster Northern Germany: the network for the maritime industry ... Deutsches Maritimes Zentrum e.V. · Gesellschaft für Maritime Technik e.V. ...,neutral,de
Matthias Catón – Geschäftsführer – Deutsches Maritimes Zentrum ...,https://de.linkedin.com/in/mcaton/de,"Geschäftsführer des Deutschen Maritimen Zentrums // Ich führe und motiviere Menschen, gestalte Veränderungen und lasse ehrgeizige Visionen Wirklichkeit ...",neutral,com
Subsea Communications Maritimes Cluster Norddeutschland e.V.,https://www.maritimes-cluster.de/en/specialist-groups/subsea-communications/,This cooperation network of the Maritime Cluster Northern Germany includes seven firms and five institutions. Thanks to the consolidation and networking of ...,positiv,de
Potenzialstudie zu Betankungsinfrastrukturen für kohlenstoffarme ...,https://www.now-gmbh.de/wp-content/uploads/2024/04/NOW_Abschlussbericht-Potenzialstudie-Betankungsstrukturen.pdf,Markus Münz (Verband Deutscher Maschinen- und Anlagenbau VDMA e.V.). Ralf Plump (Deutsches Maritimes Zentrum e.V.). Tessa Rodewaldt (Maritime Plattform e.V.).,neutral,de
