Titel,Token,Sentiment-Score
Robert Habeck - Wikipedia,robert,0.0
Robert Habeck - Wikipedia,habeck,0.0
Robert Habeck - Wikipedia,-,0.0
Robert Habeck - Wikipedia,wikipedia,0.0
Robert Habeck - Wikipedia,.,0.0
Robert Habeck - Wikipedia,from,0.0
Robert Habeck - Wikipedia,2018,0.0
Robert Habeck - Wikipedia,to,0.0
Robert Habeck - Wikipedia,2022,0.0
Robert Habeck - Wikipedia,",",0.0
Robert Habeck - Wikipedia,he,0.0
Robert Habeck - Wikipedia,also,0.0
Robert Habeck - Wikipedia,served,0.0
Robert Habeck - Wikipedia,as,0.0
Robert Habeck - Wikipedia,co,0.0
Robert Habeck - Wikipedia,leader,0.0
Robert Habeck - Wikipedia,of,0.0
Robert Habeck - Wikipedia,alliance,0.0
Robert Habeck - Wikipedia,90,0.0
Robert Habeck - Wikipedia,/,0.0
Robert Habeck - Wikipedia,the,0.0
Robert Habeck - Wikipedia,greens,0.0
Robert Habeck - Wikipedia,alongside,0.0
Robert Habeck - Wikipedia,annalena,0.0
Robert Habeck - Wikipedia,baerbock,0.0
Robert Habeck - Wikipedia,for,0.0
Robert Habeck - Wikipedia,2021,0.0
Robert Habeck - Wikipedia,german,0.0
Robert Habeck - Wikipedia,federal,0.0
Robert Habeck - Wikipedia,election,0.0
Robert Habeck,robert,0.0
Robert Habeck,habeck,0.0
Robert Habeck,dr,0.0
Robert Habeck,.,0.0
Robert Habeck,",",0.0
Robert Habeck,is,0.0
Robert Habeck,federal,0.0
Robert Habeck,minister,0.0
Robert Habeck,for,0.0
Robert Habeck,economic,0.0
Robert Habeck,affairs,0.0
Robert Habeck,and,0.0
Robert Habeck,climate,0.0
Robert Habeck,protection,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,readout,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,of,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,ambassador,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,katherine,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,tai's,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,meeting,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,with,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,germany's,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,.,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,feb,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,23,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,",",0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,2022,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,robert,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,habeck,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,federal,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,minister,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,for,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,economic,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,affairs,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,and,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,climate,0.0
Readout of Ambassador Katherine Tai's Meeting with Germany's ...,action,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,german,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,election,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,:,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,who,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,is,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,the,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,green,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,party's,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,robert,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,habeck,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,?,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,dw,0.0
German election: Who is the Green Party's Robert Habeck? – DW ...,.,0.0
