Titel,Token,Sentiment-Score
Elon Musk - Wikipedia,elon,0.0
Elon Musk - Wikipedia,musk,0.0
Elon Musk - Wikipedia,-,0.0
Elon Musk - Wikipedia,wikipedia,0.0
Elon Musk - Wikipedia,born,0.0
Elon Musk - Wikipedia,to,0.0
Elon Musk - Wikipedia,a,0.0
Elon Musk - Wikipedia,wealthy,1.5
Elon Musk - Wikipedia,family,0.0
Elon Musk - Wikipedia,in,0.0
Elon Musk - Wikipedia,pretoria,0.0
Elon Musk - Wikipedia,",",0.0
Elon Musk - Wikipedia,south,0.0
Elon Musk - Wikipedia,africa,0.0
Elon Musk - Wikipedia,emigrated,0.0
Elon Musk - Wikipedia,1989,0.0
Elon Musk - Wikipedia,canada,0.0
Elon Musk - Wikipedia,.,0.0
Elon Musk - Wikipedia,he,0.0
Elon Musk - Wikipedia,graduated,0.0
Elon Musk - Wikipedia,from,0.0
Elon Musk - Wikipedia,the,0.0
Elon Musk - Wikipedia,university,0.0
Elon Musk - Wikipedia,of,0.0
Elon Musk - Wikipedia,pennsylvania,0.0
Elon Musk - Wikipedia,u,0.0
Elon Musk - Wikipedia,s,0.0
Elon Musk - Wikipedia,before,0.0
Elon Musk - Wikipedia,moving,0.0
Elon Musk (@elonmusk) / X,elon,0.0
Elon Musk (@elonmusk) / X,musk,0.0
Elon Musk (@elonmusk) / X,(,0.0
Elon Musk (@elonmusk) / X,elonmusk,0.0
Elon Musk (@elonmusk) / X,),0.0
Elon Musk (@elonmusk) / X,/,0.0
Elon Musk (@elonmusk) / X,x,0.0
Elon Musk (@elonmusk) / X,musk's,0.0
Elon Musk (@elonmusk) / X,posts,0.0
Elon Musk (@elonmusk) / X,.,0.0
Elon Musk (@elonmusk) / X,long,0.0
Elon Musk (@elonmusk) / X,-,0.0
Elon Musk (@elonmusk) / X,form,0.0
Elon Musk (@elonmusk) / X,also,0.0
Elon Musk (@elonmusk) / X,demands,0.0
Elon Musk (@elonmusk) / X,truth,1.3
Elon Musk (@elonmusk) / X,liars,-2.4
Elon Musk (@elonmusk) / X,usually,0.0
Elon Musk (@elonmusk) / X,can't,0.0
Elon Musk (@elonmusk) / X,handle,0.0
Elon Musk (@elonmusk) / X,1,0.0
Elon Musk (@elonmusk) / X,or,0.0
Elon Musk (@elonmusk) / X,2,0.0
Elon Musk (@elonmusk) / X,basic,0.0
Elon Musk (@elonmusk) / X,follow,0.0
Elon Musk (@elonmusk) / X,up,0.0
Elon Musk (@elonmusk) / X,questions,0.0
Elon Musk (@elonmusk) / X,that's,0.0
Elon Musk (@elonmusk) / X,why,0.0
Elon Musk (@elonmusk) / X,confirmed,0.0
Elon Musk (@elonmusk) / X,liar,-2.3
Elon Musk (@elonmusk) / X,elizabeth,0.0
Elon Musk (@elonmusk) / X,warren,0.0
Elon Musk (@elonmusk) / X,gets,0.0
Elon Musk (@elonmusk) / X,elon,0.0
Elon Musk (@elonmusk) / X,musk,0.0
Elon Musk (@elonmusk) / X,(,0.0
Elon Musk (@elonmusk) / X,elonmusk,0.0
Elon Musk (@elonmusk) / X,),0.0
Elon Musk (@elonmusk) / X,/,0.0
Elon Musk (@elonmusk) / X,x,0.0
Elon Musk (@elonmusk) / X,musk's,0.0
Elon Musk (@elonmusk) / X,posts,0.0
Elon Musk (@elonmusk) / X,.,0.0
Elon Musk (@elonmusk) / X,starlink,0.0
Elon Musk (@elonmusk) / X,keeps,0.0
Elon Musk (@elonmusk) / X,you,0.0
Elon Musk (@elonmusk) / X,connected,0.0
Elon Musk (@elonmusk) / X,as,0.0
Elon Musk (@elonmusk) / X,explore,0.0
Elon Musk (@elonmusk) / X,our,0.0
Elon Musk (@elonmusk) / X,planet,0.0
Elon Musk (@elonmusk) / X,happy,2.7
Elon Musk (@elonmusk) / X,earth,0.0
Elon Musk (@elonmusk) / X,day,0.0
Elon Musk (@elonmusk) / X,!,0.0
Elon Musk (@elonmusk) / X,here's,0.0
Elon Musk (@elonmusk) / X,a,0.0
Elon Musk (@elonmusk) / X,brain,0.0
Elon Musk (@elonmusk) / X,dump,-1.6
Elon Musk (@elonmusk) / X,of,0.0
Elon Musk (@elonmusk) / X,things,0.0
Elon Musk (@elonmusk) / X,i,0.0
Elon Musk (@elonmusk) / X,worry,-1.9
Elon Musk (@elonmusk) / X,think,0.0
Elon Musk (@elonmusk) / X,about,0.0
Elon Musk (@elonmusk) / X,atm,0.0
Elon Musk (@elonmusk) / X,ai,0.0
Elon Musk (@elonmusk) / X,is,0.0
Elon Musk | Tesla,elon,0.0
Elon Musk | Tesla,musk,0.0
Elon Musk | Tesla,tesla,0.0
Elon Musk | Tesla,.,0.0
Elon Musk | Tesla,co,0.0
Elon Musk | Tesla,-,0.0
Elon Musk | Tesla,founded,0.0
Elon Musk | Tesla,and,0.0
Elon Musk | Tesla,leads,0.0
Elon Musk | Tesla,",",0.0
Elon Musk | Tesla,spacex,0.0
Elon Musk | Tesla,neuralink,0.0
Elon Musk | Tesla,the,0.0
