Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Bestands- und Potentialanalyse von Künstlicher Intelligenz KI- DMZ ...,https://dmz-maritim.de/bestands-und-potentialanalyse-von-kuenstlicher-intelligenz-ki-in-den-maritimen-behoerden-des-bmdv/,"Jan 23, 2025 ... Das Deutsche Maritime Zentrum untersucht daher den Einsatz von KI-basierten Systemen in den nachgeordneten maritimen Behörden des ...",neutral,de
KI Strategie: Home,https://www.ki-strategie-deutschland.de/,„Artificial Intelligence (AI) made in Germany“ soll zum weltweit anerkannten Gütesiegel werden. · Deutschland soll seine starke Position in der Industrie 4.0 ...,positiv,de
Offshore-Testzentrum Meerestechnik - DMZ | Deutsches Maritimes ...,https://dmz-maritim.de/offshore-testzentrum-meerestechnik/,"Jan 19, 2021 ... Die Ergebnisse kommen der gesamten deutschen maritimen Branche zugute. Neue Methoden und Technologien aus den Bereichen der mobilen Robotik, ...",negativ,de
Jahresbericht BSH 2023,https://www.deutsche-flagge.de/de/redaktion/dokumente/dokumente-bsh/jahresbericht-2023.pdf,Als zentrale maritime Behörde Deutschlands vereint das BSH Verwaltung und Wissenschaft unter einem Dach und widmet sich verschie- denen Themen rund um die ...,negativ,de
Förderprogramme - Maritimes - Förderdatenbank,https://www.foerderdatenbank.de/FDB/Content/DE/Foerderprogramm/Bund/BMWi/maritimes-forschungsprogramm.html,... maritimen Branche am Standort Deutschland. Sie können die Förderung für ein ... Methoden der künstlichen Intelligenz ( KI ) für maritime Anwendungen ...,negativ,de
Deutsches Zentrum für Luft- und Raumfahrt,https://www.dlr.de/,Das Deutsche Zentrum für Luft- und Raumfahrt (DLR) ist das Forschungszentrum der Bundesrepublik Deutschland für Luft- und Raumfahrt.,neutral,de
Für Schutz und Nutzung der Meere – Jahresbericht 2021,https://www.bsh.de/DE/PUBLIKATIONEN/_Anlagen/Downloads/BSH-Informationen/Jahresberichte/Jahresbericht-2021.pdf?__blob=publicationFile&v=2,"Jan 4, 2022 ... Behörde und deutsche maritime Ressort- forschungseinrichtung zu ... Fragestellungen zum Thema KI. Dazu gehört die Entwicklung einer ...",negativ,de
Nationale Anwendungsstrategie der Bundesregierung,https://bmdv.bund.de/SharedDocs/DE/Publikationen/DG/anwendungsstrategie-bundesregierung.pdf?__blob=publicationFile,"von und mit KI-Methoden bereitstellen, die die Nutzung von KI-Algorithmen ... und Cloudprozessierung für deutsche Behörden. DEP. Digitales Europa ...",negativ,de
Künstliche Intelligenz im Einsatz für Umwelt und Nachhaltigkeit ...,https://www.allianz-meeresforschung.de/news/finale-bundeswettbewerb-kuenstliche-intelligenz,"Nov 15, 2021 ... Mit KI-basierten Methoden lassen sich beispielsweise ... „Dieses Werkzeug wollen wir Behörden, Bürgern und Organisationen für einen ...",neutral,de
Publikationen und Expertisen | Kompetenzzentrum Öffentliche IT ...,https://www.oeffentliche-it.de/publikationen,"Inwiefern werden diese Vorgaben beim KI-Einsatz in der deutschen ... Doch wer KI einsetzen will, muss die zugrunde liegenden Methoden kennen und bewerten können.",negativ,de
FIU - Financial Intelligence Unit - Zoll online,https://www.zoll.de/DE/Der-Zoll/Aufgaben-des-Zolls/Schutz-fuer-Mensch-Wirtschaft-und-Umwelt/FIU-Aufgaben/fiu-aufgaben_node.html,"Ihre strategische Analyse zielt darauf ab, insbesondere neue Methoden der Geldwäsche und der Terrorismusfinanzierung zu identifizieren. Die gewonnenen ...",negativ,de
Deutsche Normungsroadmap Künstliche Intelligenz – Ausgabe 2,https://www.dke.de/resource/blob/2019482/0c29125fa99ac4c897e2809c8ab343ff/nr-ki-deutsch---download-data.pdf,"Auf dem. Gebiet der industriellen KI ist Deutschland noch klar führend, wie ... Methoden, einschließ- lich des tiefen Lernens (Deep Learning). → Logik ...",neutral,de
Maritime Wertschöpfung und Beschäftigung in Deutschland,https://www.bmwk.de/Redaktion/DE/Publikationen/Maritime%20Wirtschaft/Maritime-Wertsch%C3%B6pfung-Studie-Endbericht.pdf?__blob=publicationFile&v=8,"Apr 13, 2021 ... ... Methoden für den Schiffbau entwickeln, um Ge- wicht zu sparen. Belege für die Relevanz von Start-ups und Gründungen in der maritimen Wirtschaft ...",negativ,de
Projektträger Jülich: PtJ,https://www.ptj.de/,Als einer der führenden Projektträger Deutschlands setzen wir seit über 50 Jahren innovative Förderprogramme um. Profitieren Sie von unserer Expertise und ...,positiv,de
Bundesbericht Forschung und Innovation 2024,https://www.bundesbericht-forschung-innovation.de/files/BMBF_BuFI-2024_Hauptband.pdf,... Deutschlands rolle in europa ... (KI) ganz deutlich. Die Bundesregierung stimmt deshalb mit der. Expertenkommission Forschung und Innovation. (EFI) ...,neutral,de
Satellitengestützte Fernerkundung und Echtzeitsystemlösungen - KI ...,https://www.ki-mv.de/satellitengestutzte-fernerkundung-und-echtzeitsystemlosungen/,"Das Team um Egbert Schwarz ist Teil der 2014 gegründeten institutsübergreifenden Forschungsstelle Maritime Sicherheit Neustrelitz, in der das Deutsche ...",neutral,de
BSI - Bundesamt für Sicherheit in der Informationstechnik,https://www.bsi.bund.de/,Das Bundesamt für Sicherheit in der Informationstechnik (BSI) ist die Cyber-Sicherheitsbehörde des Bundes und Gestalter einer sicheren Digitalisierung in ...,negativ,de
Die Strategie Niedersachsens zur Künstlichen Intelligenz,https://www.stk.niedersachsen.de/download/183511/Anlage_KI-Strategie_Niedersachsen.pdf,"Dies hat auch das Institut für Deutsche Wirtschaft in seinem Gutachten für den Bundesverband für digitale Wirtschaft festgestellt. Der. Wert des KI-Monitors, ...",negativ,de
Künstliche Intelligenz - BMWK,https://www.bmwk.de/Redaktion/DE/Artikel/Technologie/kuenstliche-intelligenz.html,Potenziale der KI für die deutsche Wirtschaft. Eine im Auftrag des BMWK erstellte ... Für moderne Methoden der KI und lernende Systeme sind außerdem die ...,negativ,de
Datenstrategie der Bundesregierung,https://www.publikationen-bundesregierung.de/resource/blob/2277952/1845634/1a4f7ea800bb838562e16fdfe4ffb354/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1,"Jan 27, 2021 ... zienteren Aufsichtstätigkeit ist in den Behörden. Deutschlands bisher sehr heterogen. ... Künstliche Intelligenz (KI) für alle – FAIR Forward: KI ...",positiv,de
"Der Beitrag von Big Data, KI und digitalen Plattformen auf dem Weg ...",https://www.umweltbundesamt.de/sites/default/files/medien/479/publikationen/texte_85-2022_digitalisierung_als_transformationsmotor_fuer_eine_green_economy.pdf,Im vorliegenden Bericht werden die Schnittpunkte zwischen der erhofften Entwicklung. Deutschlands hin zu einer Green Economy einerseits sowie der zunehmenden ...,negativ,de
Maritime kritische Infrastrukturen - Stiftung Wissenschaft und Politik,https://www.swp-berlin.org/10.18449/2024S03/,... Behörden geschützt. Der Aufforderung durch ... Die für Deutschland und Europa bedeutsamen maritimen Infrastrukturen sind eingebunden in ein globales Netz.,negativ,org
Untitled,https://www.fkie.fraunhofer.de/content/dam/fkie/de/documents/Institut/Imagebericht/Imagebericht_19_20_DigitaleVersion.pdf,Deutschlands befassen und Empfehlungen aussprechen. Bonn als das »Davos der ... KI-Methoden für die Funkaufklärung. FKIE VERNETZT. KOMMANDO CYBER- UND ...,negativ,de
Schutz kritischer Infrastrukturen - BMI,https://www.bmi.bund.de/DE/themen/bevoelkerungsschutz/schutz-kritischer-infrastrukturen/schutz-kritischer-infrastrukturen-node.html,... Deutschlands. Grundsätzlich sind Kritische Infrastrukturen in Deutschland ... Auch der Schutz der maritimen Kritischen Infrastruktur steht im Fokus der ...,neutral,de
MARISA - Maritime Integrated Surveillance Awareness - Fraunhofer ...,https://www.iosb.fraunhofer.de/de/projekte-produkte/marisa.html,... maritimen Behörden darstellen. Maritime Situationsanalyse. In heutigen Überwachungssystemen sind die Möglichkeiten zur Wahrnehmung von Objekten (z.B. ...,negativ,de
Künstliche Intelligenz kann Meer,https://www.dfki.de/web/news-media/news-events/kuenstliche-intelligenz-kann-meer,"... Maritimen Explorationshalle. Es hat ein Fassungsvermögen von 20 m², ist 2,20 ... Die Nachhaltigkeitsziele der UN: KI-Methoden, wie sie in Bremen und ...",negativ,de
