Titel,Token,Sentiment-Score
Friedrich Merz - Wikipedia,friedrich,0.0
Friedrich Merz - Wikipedia,merz,0.0
Friedrich Merz - Wikipedia,-,0.0
Friedrich Merz - Wikipedia,wikipedia,0.0
Friedrich Merz - Wikipedia,a,0.0
Friedrich Merz - Wikipedia,german,0.0
Friedrich Merz - Wikipedia,politician,0.0
Friedrich Merz - Wikipedia,who,0.0
Friedrich Merz - Wikipedia,has,0.0
Friedrich Merz - Wikipedia,served,0.0
Friedrich Merz - Wikipedia,as,0.0
Friedrich Merz - Wikipedia,leader,0.0
Friedrich Merz - Wikipedia,of,0.0
Friedrich Merz - Wikipedia,the,0.0
Friedrich Merz - Wikipedia,christian,0.0
Friedrich Merz - Wikipedia,democratic,0.0
Friedrich Merz - Wikipedia,union,0.0
Friedrich Merz - Wikipedia,(,0.0
Friedrich Merz - Wikipedia,cdu,0.0
Friedrich Merz - Wikipedia,),0.0
Friedrich Merz - Wikipedia,since,0.0
Friedrich Merz - Wikipedia,january,0.0
Friedrich Merz - Wikipedia,2022,0.0
Friedrich Merz - Wikipedia,and,0.0
Friedrich Merz - Wikipedia,led,0.0
Friedrich Merz - Wikipedia,/,0.0
Friedrich Merz - Wikipedia,csu,0.0
Friedrich Merz - Wikipedia,parliamentary,0.0
Friedrich Merz - Wikipedia,group,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",germany,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",election,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",:,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",once,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",sidelined,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",by,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",merkel,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",",",0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",friedrich,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",merz,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",is,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",.,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",feb,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",24,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",2025,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",on,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",course,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",to,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",become,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",post,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",-,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",world,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",war,-2.9
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",ii,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",germany's,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",10,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",th,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",chancellor,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",after,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",the,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",country's,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",has,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",vowed,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",prioritize,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",european,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",unity,0.0
"Germany election: Once sidelined by Merkel, Friedrich Merz is ...",and,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",friedrich,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",merz,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",on,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",x,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",:,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...","""",0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",dear,1.6
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",volodymyr,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",zelenskyyua,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",",",0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",we,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",stand,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",with,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",.,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",feb,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",28,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",2025,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",_friedrichmerz,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",ukraine,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",in,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",good,1.9
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",and,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",testing,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",times,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",must,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",never,0.0
"Friedrich Merz on X: ""Dear Volodymyr @zelenskyyua, we stand with ...",confuse,-0.9
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",who,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",is,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",friedrich,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",merz,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",",",0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",germany's,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",likely,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",next,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",chancellor,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",?,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",dw,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",02,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",.,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",feb,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",24,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",2025,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",the,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",leader,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",of,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",victorious,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",cdu,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",has,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",a,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",checkered,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",history,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",in,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",german,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",politics,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",from,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",challenging,0.6
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",angela,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",merkel,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",to,0.0
"Who is Friedrich Merz, Germany's likely next chancellor? – DW – 02 ...",retiring,0.0
"The time has come to punish Orbán, Germany's next government says",the,0.0
"The time has come to punish Orbán, Germany's next government says",time,0.0
"The time has come to punish Orbán, Germany's next government says",has,0.0
"The time has come to punish Orbán, Germany's next government says",come,0.0
"The time has come to punish Orbán, Germany's next government says",to,0.0
"The time has come to punish Orbán, Germany's next government says",punish,-2.4
"The time has come to punish Orbán, Germany's next government says",orbán,0.0
"The time has come to punish Orbán, Germany's next government says",",",0.0
"The time has come to punish Orbán, Germany's next government says",germany's,0.0
"The time has come to punish Orbán, Germany's next government says",next,0.0
