Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Schlüsselakteure entwickeln ein emissionsloses Antriebssystem für ...,https://zeroemissionservices.nl/de/schlusselakteure-entwickeln-ein-emissionsloses-antriebssystem-fur-die-binnenschifffahrt/,"Erste vollelektrische Binnenschiffe fahren dieses Jahr durch neues ... Rotterdam, 2. Juni 2020 – Am heutigen Tag wurde Zero Emission Services B.V. (ZES) ...",neutral,nl
Ultra-Low Emission Vessels | Jan De Nul,https://www.jandenul.com/ultra-low-emission-vessels,Our new vessels are fitted with a state-of-the-art filter system. A filter system that processes exhaust gases and prevents nanoparticle emissions.,negativ,com
Decarbonizing Shipping: What role for flag states? | UN Trade and ...,https://unctad.org/news/decarbonizing-shipping-what-role-flag-states,"Mar 24, 2020 ... Vessel emitting greenhouse gas emissions ... The falling costs of net zero carbon energy technologies make the production of sustainable ...",positiv,org
Candela: Hydrofoiling Electric Boats and Ferries,https://candela.com/,"Our innovative hydrofoil technology cuts energy use by 80%, creating silent, fast, zero-emission vessels with unmatched efficiency. Simply put, we're ...",positiv,com
Transport - Energy System - IEA,https://www.iea.org/energy-system/transport,"To get on track with the Net Zero Emissions (NZE) by 2050 Scenario, CO2 emissions from the transport sector must fall by more than 3% per year to 2030. Strong ...",positiv,org
Cummins | A Global Power Technology Leader,https://www.cummins.com/,Destination Zero. Our strategy for reaching zero emissions by 2050 focuses on reducing emissions using natural resources responsibly. View our pledge ...,positiv,com
All the way to net zero | Sustainable shipping | Maersk,https://www.maersk.com/sustainability/all-the-way-to-net-zero,"The fuel pathway. Energy efficiency improvements will continue helping us to reduce our greenhouse gas emissions, supported by new, industry-level global and ...",positiv,com
​Revised GHG reduction strategy for global shipping adopted,https://www.imo.org/en/MediaCentre/PressBriefings/pages/Revised-GHG-reduction-strategy-for-global-shipping-adopted-.aspx,"Jul 7, 2023 ... The revised IMO GHG Strategy includes an enhanced common ambition to reach net-zero GHG emissions from international shipping by or around, ie close to, 2050.",positiv,org
Hurtigruten: Geplantes Zero-Emission-Küstenfahrtschiff - erste ...,https://www.spiegel.de/reise/hurtigruten-geplantes-zero-emission-kuestenfahrtschiff-erste-entwuerfe-a-cc96f111-d2d4-4fa1-8c79-46ba172e0e12,"Jun 7, 2023 ... Geplantes Zero-Emission-Küstenschiff Hurtigruten setzt Segel. In sieben Jahren soll ein erstes Hurtigruten-Schiff vor der Küste Norwegens ...",neutral,de
Initial IMO GHG Strategy,https://www.imo.org/en/MediaCentre/HotTopics/pages/reducing-greenhouse-gas-emissions-from-ships.aspx,"Is zero-carbon shipping going to become a reality? In the initial IMO strategy, there is a clear ambition to pursue efforts towards phasing out GHG emissions ...",positiv,org
"Cars, planes, trains: where do CO₂ emissions from transport come ...",https://ourworldindata.org/co2-emissions-from-transport,"Oct 6, 2020 ... Transport accounts for around one-fifth of global CO₂ emissions. Three-quarters of this is from road transport. · Towards zero-carbon transport: ...",neutral,org
