Titel,URL,Beschreibung,Sentiment,Top-Level-Domain
Maßnahmen zur Minderung von Emissionen in der Schifffahrt ...,https://www.bundestag.de/resource/blob/559626/b136948e9897d506d321fb4fca5ca00c/wd-8-032-18-pdf-data.pdf,"May 4, 2018 ... Alternative Kraftstoffe und Antriebe. Aktenzeichen: WD 8 - 3000 - 032 ... Seeschiffe. 25. Vgl. Heimann, Feliciatas (2017). Alternative ...",0.28595,de
Gut zu wissen: Corona-Impfung für Kinder | Heilen mit Tiergiften ...,https://www.ardmediathek.de/video/gut-zu-wissen/corona-impfung-fuer-kinder-oder-heilen-mit-tiergiften-oder-alternative-kraftstoffe-fuer-verbrennungsmotoren/br/Y3JpZDovL2JyLmRlL3ZpZGVvLzU1NzUxYmUzLTVjODYtNDU0Yi05ODgzLWNkOGNkZTE0OWRjNQ,"Apr 17, 2021 ... Corona-Impfung für Kinder | Heilen mit Tiergiften | Alternative Kraftstoffe für Verbrennungsmotoren ... Wie kann die Schifffahrt grün werden?",0.2755,de
Alternative Schifffahrt durch innovative Kraftstoffe | VDI,https://www.technik-in-bayern.de/mehr-technik/tourismus/alternative-schifffahrt-durch-innovative-kraftstoffe,Diese chemische Reaktion erzeugt eine Zersetzung der Stickoxidmoleküle (NOx). Das Ergebnis sind umweltfreundlicher Wasserdampf (H2 O) und Stickstoff (N2 ). Mit ...,0.2202,de
Kohlenstoffarme und erneuerbare Schiffskraftstoffe,https://www.now-gmbh.de/wp-content/uploads/2023/10/NOW_Factsheet_Kohlenstoffarme-und-erneuerbare-Schiffskraftstoffe_Okt-2023.pdf,tierung alternativer Kraftstoffe in der Schifffahrt ist häufig der noch ... Zuordnung alternative Kraftstoffe und Schiffstypen. + Der Großteil der neu ...,0.002,de
Pumpen für alternative Kraftstoffe in der Schifffahrt | Peroni Pompe,https://peronipompe.com/de/industrien-anwendungen/marine-alternative-treibstoffe/,"Peroni Pompe steht mit seinen fortschrittlichen Pumpenlösungen an vorderster Front, um diesen Übergang zu unterstützen. Das Unternehmen bietet eine Reihe von ...",0.002,com
Nutzung kohlenstoffarmer Treibstoffe in der Schifffahrt - IHK Nord,https://www.ihk-nord.de/produktmarken/schwerpunkte/maritime-wirtschaft-infrastruktur-seeverkehr/stellungnahme-fueleu-maritime-2020-5438130,Infrastruktur für Produktion und Abnahme fehlen und nicht zuletzt ist die Umstellung auf einen alternativen Treibstoff auch mit einem hohen Investitionsrisiko ...,-0.56795,de
Greenpeace-Studie: Grünes Methanol kann Schifffahrt in ...,https://presseportal.greenpeace.de/248671-greenpeace-studie-grunes-methanol-kann-schifffahrt-in-klimaneutrale-zukunft-steuern,"Apr 6, 2025 ... ... alternativen Treibstoff um. Jedoch fehlen bislang verbindliche Standards für alternative Kraftstoffe. Greenpeace fordert die IMO auf ...",-0.56795,de
FuelEU Maritime-Verordnung 2025: Wie die EU die Schifffahrt ...,https://vinciworks.com/blog/fueleu-maritime-verordnung-2025-wie-die-eu-die-schifffahrt-nachhaltiger-gestalten-will/,"Nov 11, 2024 ... Die Anforderungen umfassen den Einsatz sogenannter „Null- oder Niedrigemissionstreibstoffe“ sowie alternative Technologien, die den ...",-0.47425,com
„Transport ist die Lebensader Europas“ – DiePresse.com,https://www.diepresse.com/18542729/transport-ist-die-lebensader-europas,"Jun 18, 2024 ... ... Alternativen.“ Die gesetzlichen Grundlagen für alternative Treibstoffe, verbindliche Ziele für die Luft- und Schifffahrt und die CO2 ...",-0.47425,com
Klimaneutrale Schiffstreibstoffe gibt es nicht umsonst,https://www.klimareporter.de/verkehr/klimaneutrale-schiffstreibstoffe-gibt-es-nicht-umsonst,"Jan 31, 2022 ... Doch konventionelle Treibstoffe in der Schifffahrt schädigen das Klima. Die Internationale Seeschifffahrts-Organisation IMO beziffert den CO ...",-0.46390000000000003,de
